Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,864.306,195.288,524277,695,22,175,3346.53,538762,0.185,0,1008666,1285830,425250,78246,87441,459375,341250,64086,269608243,1414485345,0,0,0,0,0,0,0,0,0,0,6,44,15,0,0,0,0,0,0,0,0
1,864.306,195.303,524277,695,22,142,4218.28,502337,0.159,0,1073016,1281540,345060,83592,93216,372750,276900,68376,292562618,1070169720,0,0,0,0,0,0,0,0,0,0,6,44,15,0,0,0,0,0,0,0,0
2,864.307,195.59,524277,695,22,124,4774.24,530092,0.133,0,1108116,1279200,301320,86508,96366,325500,241800,70716,298164754,986137680,0,0,0,0,0,0,0,0,0,0,6,44,15,0,0,0,0,0,0,0,0
3,864.306,195.325,524277,695,22,59,10166.6,538340,0.066,0,1234866,1270750,143370,97038,107741,154875,115050,79166,332139912,476510310,0,0,0,0,0,0,0,0,0,0,6,44,15,0,0,0,0,0,0,0,0
4,864.307,195.591,524277,695,22,57,10291.1,567695,0.054,0,1238766,1270490,138510,97362,108091,149625,111150,79426,331543514,485456280,0,0,0,0,0,0,0,0,0,0,6,44,15,0,0,0,0,0,0,0,0
5,864.307,195.435,524277,695,22,26,21932.4,585364,0.029,0,1299216,1266460,63180,102384,113516,68250,50700,83456,348685450,228327240,0,0,0,0,0,0,0,0,0,0,6,44,15,0,0,0,0,0,0,0,0
6,864.307,195.449,524277,695,22,12,46977.7,498220,0.016,0,1326516,1264640,29160,104652,115966,31500,23400,85276,357927545,89695815,0,0,0,0,0,0,0,0,0,0,6,44,15,0,0,0,0,0,0,0,0
7,864.307,195.622,524277,695,22,8,72303.3,719310,0.012,0,1334316,1264120,19440,105300,116666,21000,15600,85796,358152063,86328045,0,0,0,0,0,0,0,0,0,0,6,44,15,0,0,0,0,0,0,0,0
8,864.307,195.745,524277,695,22,16,34845.6,526770,0.012,0,1318716,1265160,38880,104004,115266,42000,31200,84756,355477501,126446475,0,0,0,0,0,0,0,0,0,0,6,44,15,0,0,0,0,0,0,0,0
9,864.307,195.641,524277,695,22,7,78934.5,526500,0.012,0,1336266,1263990,17010,105462,116841,18375,13650,85926,360221137,55291935,0,0,0,0,0,0,0,0,0,0,6,44,15,0,0,0,0,0,0,0,0
10,864.307,195.433,524277,695,22,13,33001.5,541395,0.009,0,1324566,1264770,31590,104490,115791,34125,25350,85146,356867960,105589590,0,0,0,0,0,0,0,0,0,0,6,44,15,0,0,0,0,0,0,0,0
11,864.307,195.635,524277,695,22,4,137097,525718,0.005,0,1342116,1263600,9720,105948,117366,10500,7800,86316,361804036,31548450,0,0,0,0,0,0,0,0,0,0,6,44,15,0,0,0,0,0,0,0,0
12,864.307,195.658,524277,695,22,6,67794.4,483213,0.005,0,1338216,1263860,14580,105624,117016,15750,11700,86056,361007450,43497240,0,0,0,0,0,0,0,0,0,0,6,44,15,0,0,0,0,0,0,0,0
13,864.307,195.538,524277,695,22,1,382872,934805,0.002,0,1347966,1263210,2430,106434,117891,2625,1950,86706,362972371,14023425,0,0,0,0,0,0,0,0,0,0,6,44,15,0,0,0,0,0,0,0,0
14,864.307,195.574,524277,695,22,2,257173,629648,0.002,0,1346016,1263340,4860,106272,117716,5250,3900,86576,362647789,18892155,0,0,0,0,0,0,0,0,0,0,6,44,15,0,0,0,0,0,0,0,0
15,670.457,0.537745,506479,896,223,243,2466.96,427745,0.3,6,1271400,1217780,14580,105624,114100,59490,31140,84760,348826647,226209285,0,0,0,0,0,0,0,0,0,0,8,446,15,0,0,42,0,0,0,1,0
0,891.478,352.962,501392,673,38,152,3941.27,518598,0.185,0,1009488,1242800,369360,76464,86488,399000,296400,63088,258151316,1182608190,0,0,0,0,0,0,0,0,0,0,10,76,15,0,0,0,0,0,0,0,0
1,891.479,353.021,501392,673,38,124,4827.51,506496,0.159,0,1064088,1239160,301320,81000,91388,325500,241800,66728,274175165,942250455,0,0,0,0,0,0,0,0,0,0,10,76,15,0,0,0,0,0,0,0,0
2,891.48,353.202,501392,673,38,126,4729.62,482541,0.133,0,1060188,1239420,306180,80676,91038,330750,245700,66468,276180363,912172485,0,0,0,0,0,0,0,0,0,0,10,76,15,0,0,0,0,0,0,0,0
3,891.479,353.084,501392,673,38,61,9691.49,506479,0.066,0,1186938,1230970,148230,91206,102413,160125,118950,74918,306091169,463510395,0,0,0,0,0,0,0,0,0,0,10,76,15,0,0,0,0,0,0,0,0
4,891.48,353.263,501392,673,38,57,10450.3,513723,0.054,0,1194738,1230450,138510,91854,103113,149625,111150,75438,307704496,439310490,0,0,0,0,0,0,0,0,0,0,10,76,15,0,0,0,0,0,0,0,0
5,891.48,353.119,501392,673,38,30,19370.2,569715,0.029,0,1247388,1226940,72900,96228,107838,78750,58500,78948,319897699,256412445,0,0,0,0,0,0,0,0,0,0,10,76,15,0,0,0,0,0,0,0,0
6,891.479,353.18,501392,673,38,9,60910.9,671269,0.016,0,1288338,1224210,21870,99630,111513,23625,17550,81678,330949632,90633450,0,0,0,0,0,0,0,0,0,0,10,76,15,0,0,0,0,0,0,0,0
7,891.481,353.422,501392,673,38,8,72995.1,420523,0.012,0,1290288,1224080,19440,99792,111688,21000,15600,81808,333626955,50473605,0,0,0,0,0,0,0,0,0,0,10,76,15,0,0,0,0,0,0,0,0
8,891.48,353.234,501392,673,38,14,41669,544708,0.012,0,1278588,1224860,34020,98820,110638,36750,27300,81028,329364693,114407535,0,0,0,0,0,0,0,0,0,0,10,76,15,0,0,0,0,0,0,0,0
9,891.481,353.573,501392,673,38,11,46784.3,404181,0.012,0,1284438,1224470,26730,99306,111163,28875,21450,81418,332544886,66704640,0,0,0,0,0,0,0,0,0,0,10,76,15,0,0,0,0,0,0,0,0
10,891.479,353.121,501392,673,38,4,135800,629157,0.009,0,1298088,1223560,9720,100440,112388,10500,7800,82328,334474873,37754835,0,0,0,0,0,0,0,0,0,0,10,76,15,0,0,0,0,0,0,0,0
11,891.48,353.435,501392,673,38,5,107271,451576,0.005,0,1296138,1223690,12150,100278,112213,13125,9750,82198,334733531,33874965,0,0,0,0,0,0,0,0,0,0,10,76,15,0,0,0,0,0,0,0,0
12,891.48,353.365,501392,673,38,8,71454.9,412912,0.005,0,1290288,1224080,19440,99792,111688,21000,15600,81808,333687843,49560285,0,0,0,0,0,0,0,0,0,0,10,76,15,0,0,0,0,0,0,0,0
13,891.48,353.464,501392,673,38,5,97548.9,428825,0.002,0,1296138,1223690,12150,100278,112213,13125,9750,82198,334847289,32168595,0,0,0,0,0,0,0,0,0,0,10,76,15,0,0,0,0,0,0,0,0
14,891.48,353.426,501392,673,38,3,194718,324237,0.002,0,1300038,1223430,7290,100602,112563,7875,5850,82458,336018880,14594730,0,0,0,0,0,0,0,0,0,0,10,76,15,0,0,0,0,0,0,0,0
15,671.167,0.48215,485774,893,258,275,2178.72,440454,0.3,7,1203150,1162510,17010,99954,107975,76695,39570,80210,312429140,368440830,0,0,0,0,0,0,0,0,0,0,14,516,15,0,0,55,0,0,0,1,0
0,776.534,614.028,508649,768,86,172,3409.96,525860,0.185,0,1150662,1418300,417960,79866,94537,451500,335400,67762,299730203,1356949965,0,0,0,0,0,0,0,0,0,0,10,172,15,0,0,0,0,0,0,0,0
1,776.534,613.955,508649,768,86,155,3775.14,497417,0.159,0,1183812,1416090,376650,82620,97512,406875,302250,69972,313079966,1156703520,0,0,0,0,0,0,0,0,0,0,10,172,15,0,0,0,0,0,0,0,0
2,776.533,614.819,508649,768,86,106,5613.6,478904,0.133,0,1279362,1409720,257580,90558,106087,278250,206700,76342,339420145,761600835,0,0,0,0,0,0,0,0,0,0,10,172,15,0,0,0,0,0,0,0,0
3,776.534,614.095,508649,768,86,63,9351.01,529159,0.066,0,1363212,1404130,153090,97524,113612,165375,122850,81932,356850831,500140545,0,0,0,0,0,0,0,0,0,0,10,172,15,0,0,0,0,0,0,0,0
4,776.532,614.689,508649,768,86,47,12672.3,612506,0.054,0,1394412,1402050,114210,100116,116412,123375,91650,84012,361401508,431880390,0,0,0,0,0,0,0,0,0,0,10,172,15,0,0,0,0,0,0,0,0
5,776.533,614.3,508649,768,86,31,17395.5,499499,0.029,0,1425612,1399970,75330,102708,119212,81375,60450,86092,374706265,232309035,0,0,0,0,0,0,0,0,0,0,10,172,15,0,0,0,0,0,0,0,0
6,776.533,614.279,508649,768,86,21,28181.5,621942,0.016,0,1445112,1398670,51030,104328,120962,55125,40950,87392,377130855,195940185,0,0,0,0,0,0,0,0,0,0,10,172,15,0,0,0,0,0,0,0,0
7,776.533,614.604,508649,768,86,6,70578.4,229708,0.012,0,1474362,1396720,14580,106758,123587,15750,11700,89342,388814748,20681790,0,0,0,0,0,0,0,0,0,0,10,172,15,0,0,0,0,0,0,0,0
8,776.532,614.679,508649,768,86,9,55293.5,559351,0.012,0,1468512,1397110,21870,106272,123062,23625,17550,88952,385158567,75524505,0,0,0,0,0,0,0,0,0,0,10,172,15,0,0,0,0,0,0,0,0
9,776.532,614.578,508649,768,86,10,49514.9,467862,0.012,0,1466562,1397240,24300,106110,122887,26250,19500,88822,385514017,70192755,0,0,0,0,0,0,0,0,0,0,10,172,15,0,0,0,0,0,0,0,0
10,776.533,614.206,508649,768,86,13,45608.8,560329,0.009,0,1460712,1397630,31590,105624,122362,34125,25350,88432,382908089,109281675,0,0,0,0,0,0,0,0,0,0,10,172,15,0,0,0,0,0,0,0,0
11,776.533,614.798,508649,768,86,3,63839,490014,0.005,0,1480212,1396330,7290,107244,124112,7875,5850,89732,388723221,22054695,0,0,0,0,0,0,0,0,0,0,10,172,15,0,0,0,0,0,0,0,0
12,776.533,614.551,508649,768,86,8,70946.6,450256,0.005,0,1470462,1396980,19440,106434,123237,21000,15600,89082,386590763,54041565,0,0,0,0,0,0,0,0,0,0,10,172,15,0,0,0,0,0,0,0,0
13,776.533,614.858,508649,768,86,2,189125,138562,0.002,0,1482162,1396200,4860,107406,124287,5250,3900,89862,389916229,4159575,0,0,0,0,0,0,0,0,0,0,10,172,15,0,0,0,0,0,0,0,0
