Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
787.027,454.775,537893,761,79,1361950,101149,115568,83970,378863000,8,159.625,682,0,0,0,0,492.51,492.899,492.977,461.931,2723900,202298,231137,167940,757727000,1001.38,761052000
751.696,565.192,523515,799,94,1428090,104186,120141,86981.3,386638000,10,188.25,705,0,0,0,0,611.904,612.378,612.423,573.893,2856190,208372,240281,173963,773275000,973.376,776754000
732.797,578.14,543394,817,109,1461590,104946,122024,88063.1,410777000,9.1875,219.125,708,0,0,0,0,625.239,625.729,625.853,586.427,2923190,209891,244048,176126,821554000,1011.16,825107000
728.113,418.251,531169,824,91,1475800,108439,124583,90326.3,405336000,7,183.875,733,0,0,0,0,452.465,452.835,452.894,424.385,2951600,216878,249165,180652,810672000,989.392,814270000
786.253,424.758,525438,763,80,1363510,100845,115468,83827.5,370151000,10,161.5,683,0,0,0,0,460.552,461.019,461.047,431.996,2727030,201690,230936,167655,740302000,975.891,743629000
745.131,413.137,494480,804,89,1436020,105857,121414,88085.6,366988000,8.0625,179,715,0,0,0,0,447.982,448.344,448.424,420.18,2872050,211714,242828,176171,733976000,918.404,737479000
806.074,338.138,508556,744,63,1330370,100693,113937,83098.1,349318000,8.0625,127.688,681,0,0,0,0,366.84,367.196,367.214,344.106,2660730,201386,227874,166196,698636000,944.674,701893000
796.685,456.956,536198,752,70,1343690,102668,115614,84480,371656000,9,141.75,682,0,0,0,0,496.351,496.698,496.744,465.526,2687380,205335,231229,168960,743312000,994.148,746605000
777.005,357.117,503872,768,74,1372410,104186,117711,85901.2,356906000,8,148.125,694,0,0,0,0,387.318,387.57,387.724,363.287,2744830,208373,235421,171802,713811000,935.035,717172000
804.783,238.687,537262,746,58,1333690,103427,115599,84718.1,369988000,7.25,116.875,688,0,0,0,0,259.097,259.361,259.451,243.053,2667390,206854,231199,169436,739976000,997.652,743251000
785.319,405.474,520927,764,67,1366140,102364,116425,84742.5,367849000,9,135.625,697,0,0,0,0,439.64,440.002,440.084,412.374,2732270,204727,232851,169485,735698000,968.594,739037000
767.931,195.592,534915,778,47,1390890,109046,121214,89025,384264000,8,94,731,0,0,0,0,212.294,212.551,212.617,199.183,2781790,218092,242428,178050,768529000,993.499,771949000
805.187,595.084,523363,743,81,1330340,97655.6,112251,81369.4,359812000,11,163.125,662,0,0,0,0,643.659,644.054,644.128,603.652,2660690,195311,224501,162739,719623000,974.214,722867000
777.534,444.909,527578,771,85,1379970,102212,116945,84924.4,376407000,7.1875,170.75,686,0,0,0,0,481.747,482.076,482.248,451.852,2759940,204424,233889,169849,752813000,982.054,756181000
835.951,424.89,519049,715,71,1275520,96136.9,109015,79441.9,342015000,8,142.375,644,0,0,0,0,461.6,461.978,462.02,432.939,2551050,192274,218031,158884,684030000,962.396,687151000
796.16,300.615,508738,753,67,1346050,103731,116307,85130.6,353088000,7.125,134.5,686,0,0,0,0,326.229,326.501,326.604,305.989,2692100,207461,232614,170261,706176000,943.456,709479000
759.177,461.954,532354,790,89,1412260,103882,119281,86501.2,388521000,8,178.5,701,0,0,0,0,500.3,500.679,500.764,469.221,2824520,207765,238562,173002,777043000,989.21,780486000
