Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,820.58,280.806,547201,730,41,178,3359.94,571293,0.185,0,1069750,1349920,432540,81162,91725,467250,347100,66930,297264659,1525592730,0,0,0,0,0,0,0,0,0,0,7,82,15,0,0,0,0,0,0,0,0
1,820.58,280.796,547201,730,41,170,3518.84,519451,0.159,0,1085350,1348880,413100,82458,93125,446250,331500,67970,310648827,1324830210,0,0,0,0,0,0,0,0,0,0,7,82,15,0,0,0,0,0,0,0,0
2,820.582,281.262,547201,730,41,123,4748.81,569735,0.133,0,1177000,1342770,298890,90072,101350,322875,239850,74080,328882317,1051327860,0,0,0,0,0,0,0,0,0,0,7,82,15,0,0,0,0,0,0,0,0
3,820.58,280.829,547201,730,41,72,8226.13,500657,0.066,0,1276450,1336140,174960,98334,110275,189000,140400,80710,362917074,540806505,0,0,0,0,0,0,0,0,0,0,7,82,15,0,0,0,0,0,0,0,0
4,820.582,281.236,547201,730,41,43,13839.8,621609,0.054,0,1333000,1332370,104490,103032,115350,112875,83850,84480,372237777,400995960,0,0,0,0,0,0,0,0,0,0,7,82,15,0,0,0,0,0,0,0,0
5,820.581,281.018,547201,730,41,22,24758.5,522699,0.029,0,1373950,1329640,53460,106434,119025,57750,42900,87210,387469487,172520310,0,0,0,0,0,0,0,0,0,0,7,82,15,0,0,0,0,0,0,0,0
6,820.581,281.02,547201,730,41,11,50472,770187,0.016,0,1395400,1328210,26730,108216,120950,28875,21450,88640,390497793,127095720,0,0,0,0,0,0,0,0,0,0,7,82,15,0,0,0,0,0,0,0,0
7,820.582,281.24,547201,730,41,12,48880.5,684536,0.012,0,1393450,1328340,29160,108054,120775,31500,23400,88510,390755327,123232710,0,0,0,0,0,0,0,0,0,0,7,82,15,0,0,0,0,0,0,0,0
8,820.582,281.413,547201,730,41,5,100187,705837,0.012,0,1407100,1327430,12150,109188,122000,13125,9750,89420,395441207,52944510,0,0,0,0,0,0,0,0,0,0,7,82,15,0,0,0,0,0,0,0,0
9,820.582,281.282,547201,730,41,7,77493.7,704424,0.012,0,1403200,1327690,17010,108864,121650,18375,13650,89160,394039244,73973955,0,0,0,0,0,0,0,0,0,0,7,82,15,0,0,0,0,0,0,0,0
10,820.581,281.01,547201,730,41,13,40338.6,534648,0.009,0,1391500,1328470,31590,107892,120600,34125,25350,88380,392019248,104273895,0,0,0,0,0,0,0,0,0,0,7,82,15,0,0,0,0,0,0,0,0
11,820.581,281.262,547201,730,41,5,89155.3,407969,0.005,0,1407100,1327430,12150,109188,122000,13125,9750,89420,396930548,30604395,0,0,0,0,0,0,0,0,0,0,7,82,15,0,0,0,0,0,0,0,0
12,820.582,281.307,547201,730,41,5,101414,761540,0.005,0,1407100,1327430,12150,109188,122000,13125,9750,89420,395162691,57122250,0,0,0,0,0,0,0,0,0,0,7,82,15,0,0,0,0,0,0,0,0
13,820.581,281.148,547201,730,41,2,222780,637679,0.002,0,1412950,1327040,4860,109674,122525,5250,3900,89810,397695303,19133070,0,0,0,0,0,0,0,0,0,0,7,82,15,0,0,0,0,0,0,0,0
14,820.581,281.226,547201,730,41,3,168864,496005,0.002,0,1411000,1327170,7290,109512,122350,7875,5850,89680,397482555,22324290,0,0,0,0,0,0,0,0,0,0,7,82,15,0,0,0,0,0,0,0,0
15,631.652,0.500905,531441,951,259,279,2150.53,464666,0.3,8,1308450,1263820,19440,108702,117425,81750,42600,87230,375118558,357784245,0,0,0,0,0,0,0,0,0,0,8,518,15,0,0,58,0,0,0,1,0
0,816.401,276.745,530331,733,42,166,3552.44,498841,0.185,0,1098624,1353820,403380,82944,93974,435750,323700,68504,305440823,1242338355,0,0,0,0,0,0,0,0,0,0,6,84,15,0,0,0,0,0,0,0,0
1,816.402,276.71,530331,733,42,162,3677.71,562589,0.159,0,1106424,1353300,393660,83592,94674,425250,315900,69024,297109429,1367309265,0,0,0,0,0,0,0,0,0,0,6,84,15,0,0,0,0,0,0,0,0
