Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
805.484,258.699,545942,743,54,1.3283e+06,103123,115195,84440.6,3.74035e+08,7.0625,109.25,689,0,0,0,0,281.01,281.262,281.307,263.585,2.65659e+06,206246,230391,168881,7.4807e+08,1012.58,7.51332e+08
802.017,255.219,529224,746,55,1.33343e+06,102971,115335,84453.8,3.63997e+08,6.1875,110.25,691,0,0,0,0,276.934,277.223,277.273,259.78,2.66686e+06,205942,230670,168908,7.27994e+08,981.565,7.31266e+08
823.036,345.236,542126,728,59,1.30253e+06,100693,112722,82558.1,3.64452e+08,8.125,119.375,669,0,0,0,0,374.589,374.917,374.964,351.345,2.60505e+06,201386,225444,165116,7.28904e+08,1007.02,7.32101e+08
827.867,354.071,515385,723,68,1.28947e+06,99174.4,111309,81440.6,3.42274e+08,8.0625,136.25,655,0,0,0,0,385.036,385.397,385.447,361.147,2.57893e+06,198349,222619,162881,6.84548e+08,952.508,6.87711e+08
827.013,307.971,506488,726,68,1.29711e+06,97351.9,110632,80551.9,3.39524e+08,6.1875,136.875,658,0,0,0,0,334.023,334.356,334.413,313.327,2.59422e+06,194704,221263,161104,6.79049e+08,940.993,6.8222e+08
793.031,435.17,512052,756,79,1.35054e+06,99478.1,114143,82798.1,3.57241e+08,8,158.25,677,0,0,0,0,471.489,471.897,471.989,442.254,2.70108e+06,198956,228287,165596,7.14481e+08,950.696,7.17775e+08
935.576,0.728083,641075,32,0,56671.9,4708.13,5085.94,3778.12,1.8732e+07,0.3125,1.75,32,0,0,0,0,0.680827,0.80265,0.833382,0.730692,113344,9416.25,10171.9,7556.25,3.74641e+07,1213.05,3.76046e+07
678.916,0.728855,506257,44,0,78609.4,6530.62,7054.69,5240.63,2.04194e+07,0.1875,1.625,44,0,0,0,0,0.679248,0.853611,0.865665,0.732242,157219,13061.2,14109.4,10481.3,4.08388e+07,954.272,4.10337e+07
683.584,554.439,487402,43,4,76252.5,5467.5,6361.88,4590,1.92397e+07,4,8.625,39,0,0,0,0,596.336,596.761,596.837,559.27,152505,10935,12723.8,9180,3.84794e+07,920.59,3.86648e+07
804.083,0.714182,536436,38,1,65812.5,5467.5,5906.25,4387.5,1.82974e+07,0.375,2.125,37,0,0,0,0,0.662449,0.793347,0.805454,0.719845,131625,10935,11812.5,8775,3.65948e+07,993.458,3.67579e+07
631.764,1357.47,448738,44,9,77816.2,5163.75,6261.56,4447.5,1.80702e+07,9,18.375,35,0,0,0,0,1453.94,1454.29,1454.4,1363.25,155632,10327.5,12523.1,8895,3.61404e+07,844.831,3.63277e+07
754.09,540.498,451306,38,5,67111.9,4708.12,5541.56,3980.62,1.56374e+07,5,10.875,33,0,0,0,0,584.767,585.308,585.447,548.493,134224,9416.25,11083.1,7961.25,3.12749e+07,849.664,3.14376e+07
659.082,1269.16,513124,46,7,81208.1,5011.88,6325.31,4426.88,2.16838e+07,5,14.625,39,0,0,0,0,1362.59,1363.33,1363.55,1277.78,162416,10023.8,12650.6,8853.75,4.33675e+07,968.033,4.35615e+07
601.122,445.287,547427,47,4,83565,6075,7018.12,5077.5,2.36449e+07,4,9.125,43,0,0,0,0,481.716,482.068,482.141,451.793,167130,12150,14036.2,10155,4.72899e+07,1032.46,4.74933e+07
994.063,0.72383,472021,28,0,49359.4,4100.63,4429.69,3290.62,1.19494e+07,0.375,1.25,28,0,0,0,0,0.606851,0.887048,0.907221,0.729787,98718.8,8201.25,8859.38,6581.25,2.38989e+07,889.675,2.40212e+07
756.895,0.714953,540205,38,0,67640.6,5619.38,6070.31,4509.38,1.87645e+07,0.1875,1.125,38,0,0,0,0,0.668043,0.819944,0.851979,0.717192,135281,11238.8,12140.6,9018.75,3.7529e+07,1018.83,3.76967e+07
725.621,0.777196,635310,42,1,73125,6075,6562.5,4875,2.4017e+07,0.4375,2,41,0,0,0,0,0.731331,0.909369,0.975291,0.783657,146250,12150,13125,9750,4.80339e+07,1175.98,4.82152e+07
863.265,378.068,592826,33,4,57971.2,3948.75,4721.25,3371.25,1.78604e+07,4.1875,9.25,29,0,0,0,0,410.479,411.295,411.515,385.221,115942,7897.5,9442.5,6742.5,3.57209e+07,1120.65,3.58609e+07
986.273,0.763986,598243,29,0,51187.5,4252.5,4593.75,3412.5,1.58033e+07,0.3125,1.25,29,0,0,0,0,0.706172,0.8954,0.940055,0.770144,102375,8505,9187.5,6825,3.16066e+07,1133.34,3.17335e+07
641.639,1086.15,490944,44,10,77551.9,4708.12,5997.19,4183.12,1.98354e+07,6,20.75,34,0,0,0,0,1171.42,1172.04,1172.23,1098.49,155104,9416.25,11994.4,8366.25,3.96707e+07,926.874,3.98556e+07
961.803,0.73726,614178,32,1,54843.8,4556.25,4921.88,3656.25,1.75027e+07,0.375,2.125,31,0,0,0,0,0.697176,0.833452,0.856415,0.744956,109688,9112.5,9843.75,7312.5,3.50055e+07,1133.6,3.51414e+07
736.296,214.682,451059,41,1,72596.2,5163.75,6033.75,4346.25,1.68626e+07,1.4375,3.5,40,0,0,0,0,232.977,233.363,233.407,218.601,145192,10327.5,12067.5,8692.5,3.37251e+07,847.535,3.39014e+07
813.647,0.795552,635582,37,1,63984.4,5315.62,5742.19,4265.62,2.11542e+07,0.3125,2.125,36,0,0,0,0,0.743175,0.938052,1.00584,0.804639,127969,10631.2,11484.4,8531.25,4.23084e+07,1179.64,4.2467e+07
649.573,157.856,543265,46,4,81736.9,5923.12,6854.06,4955.62,2.30241e+07,4.0625,9.625,42,0,0,0,0,171.296,171.792,171.921,160.851,163474,11846.2,13708.1,9911.25,4.60481e+07,1027.71,4.62471e+07
1007.93,0.730254,475837,29,0,51187.5,4252.5,4593.75,3412.5,1.26073e+07,0.5625,1.875,29,0,0,0,0,0.667352,0.902701,0.937548,0.74036,102375,8505,9187.5,6825,2.52146e+07,905.055,2.53415e+07
726.68,525.483,563121,41,5,72596.2,5163.75,6033.75,4346.25,2.12533e+07,5,11.375,36,0,0,0,0,570.559,570.929,570.994,535.087,145192,10327.5,12067.5,8692.5,4.25066e+07,1067.07,4.26829e+07
895.861,0.719353,612012,33,2,56671.9,4708.13,5085.94,3778.12,1.79389e+07,1.375,3.9375,31,0,0,0,0,0.661378,0.83153,0.836904,0.727395,113344,9416.25,10171.9,7556.25,3.58779e+07,1125.57,3.60184e+07
832.355,358.105,529507,35,3,61627.5,4252.5,5049.38,3615,1.68632e+07,3,6.625,32,0,0,0,0,385.129,385.643,385.672,361.298,123255,8505,10098.8,7230,3.37263e+07,996.336,3.38754e+07
850.983,1016.48,542191,36,6,62926.9,3493.12,4684.69,3208.12,1.77696e+07,3,12.375,30,0,0,0,0,1089.55,1090.23,1090.48,1021.77,125854,6986.25,9369.38,6416.25,3.55392e+07,1019.65,3.56878e+07
473.858,319.056,559438,63,8,110987,8353.12,9479.06,6905.62,3.1968e+07,6.0625,16.0625,55,0,0,0,0,346.021,346.176,346.302,324.513,221974,16706.2,18958.1,13811.2,6.3936e+07,1035.6,6.42074e+07
740.841,0.727394,468841,39,0,69468.8,5771.25,6234.38,4631.25,1.67057e+07,0.1875,1.375,39,0,0,0,0,0.641549,0.873647,0.892435,0.731638,138938,11542.5,12468.8,9262.5,3.34115e+07,883.781,3.35837e+07
903.762,664.048,472890,33,4,57971.3,3948.75,4721.25,3371.25,1.41755e+07,4,8.625,29,0,0,0,0,716.301,716.398,716.427,671.588,115942,7897.5,9442.5,6742.5,2.83509e+07,890.342,2.84909e+07
782.278,1428.09,545742,38,8,66935.6,4404.38,5365.31,3804.38,1.89673e+07,8,16.75,30,0,0,0,0,1542.85,1543.7,1543.84,1446.88,133871,8808.75,10730.6,7608.75,3.79346e+07,1029.61,3.80956e+07
814.083,0.719005,428596,35,0,62156.2,5163.75,5578.12,4143.75,1.36917e+07,0.25,1.125,35,0,0,0,0,0.687056,0.829392,0.895264,0.723794,124312,10327.5,11156.2,8287.5,2.73835e+07,809.928,2.75375e+07
566.568,321.578,491275,49,4,87221.2,6378.75,7346.25,5321.25,2.2126e+07,4,8.625,45,0,0,0,0,346.284,346.684,346.757,324.854,174442,12757.5,14692.5,10642.5,4.4252e+07,926.344,4.44645e+07
698.563,863.621,544066,42,7,73895.6,4404.38,5669.06,3939.38,2.09206e+07,6,14.875,35,0,0,0,0,931.691,932.62,932.906,873.898,147791,8808.75,11338.1,7878.75,4.18412e+07,1024.8,4.2017e+07
643.205,0.740285,519503,44,1,76781.2,6378.75,6890.62,5118.75,2.06225e+07,0.3125,2.125,43,0,0,0,0,0.691771,0.893713,0.932544,0.746643,153562,12757.5,13781.2,10237.5,4.1245e+07,963.612,4.14353e+07
847.749,0.766008,705041,36,1,62156.3,5163.75,5578.12,4143.75,2.27363e+07,0.3125,2.5,35,0,0,0,0,0.738732,0.851723,0.908622,0.77439,124312,10327.5,11156.3,8287.5,4.54725e+07,1303.62,4.56266e+07
