,Feature1,Label
0,184006.19771294468,0
1,-4392.159049351593,0
2,13966.476075106071,1
3,22408.7587126776,1
4,-65406.25919034707,0
5,-7870.435316530135,1
6,-85113.30105603325,0
7,193981.198728861,0
8,-33618.452838566525,1
9,69916.98775067521,0
10,-21607.571354531385,1
11,35468.90734375488,0
12,-61837.24336846488,0
13,-3606.2300864106724,1
14,-85113.30105561976,0
15,-72400.26968822119,0
16,-9351.1477560587,0
17,-140929.39068493893,0
18,-201056.40130370803,0
19,-66496.22598591412,0
20,-140717.37017171766,0
21,-23620.40955551539,1
22,-34980.11740882974,0
23,-7870.43531666797,1
24,13966.476075106071,1
25,-164058.3973853984,0
26,6833.550535096689,1
27,-5979.266711929468,1
28,-15221.371996384329,1
29,15988.778249725747,1
30,-63002.26620550166,0
31,54203.9446527687,0
32,-22224.318176156692,1
33,-4392.159053486673,0
34,23967.88314370492,0
35,3750.6844769838744,1
36,-25047.370029994094,1
37,-3899.4424137312203,1
38,39123.91095855098,0
39,-9514.373729777262,1
40,92374.06503530311,0
41,-20048.541776129237,1
42,8804.70874742127,1
43,-1780.4806653339467,1
44,13083.625045213488,1
45,-34980.117403316304,0
46,17782.657969349988,1
47,-7713.153466686097,0
48,79825.9671665355,0
49,6833.550535234524,1
50,-23620.40955551539,1
51,-117571.20234379247,0
52,-34611.52212103146,1
53,-99298.31553874885,0
54,-424.2871809236404,1
55,-24266.376225901222,1
56,-793.4817870127315,1
57,50066.94658016995,0
58,104830.03074787502,0
59,-7713.153467650947,0
60,2342.691011637284,1
61,-171534.43742751522,0
62,92374.06505487584,0
63,17782.657969212152,1
64,585.6659991522837,1
65,-1350.4506730958549,1
66,5025.636873721156,1
67,-164058.39739366857,0
68,45221.93895005149,0
69,-22177.444958818174,1
70,54203.944646014745,0
71,-6315.3160292784805,1
72,-6580.419901832244,1
73,184006.1977103256,0
74,2094.6403697638243,1
75,20870.67006401588,1
76,2094.64036990166,1
77,13966.476075106071,1
78,-134420.36243117444,0
79,-116250.30988813813,0
80,-3606.2300864106724,1
81,-9351.147759642436,0
82,8877.539940959072,1
83,9991.624829818158,1
84,-140717.3701645502,0
85,27971.942217333915,0
86,-9351.1477560587,0
87,-65406.25918538497,0
88,-99757.30470978854,0
89,95571.01010562795,0
90,-8048.367709340174,1
91,-25432.43307372035,1
92,-85113.30105603325,0
93,37202.93065835544,0
94,-108333.32629251324,0
95,-14058.15655460777,0
96,-793.4817871505675,1
97,63892.96924033583,0
98,-3606.2300864106724,1
99,79825.96715785182,0
100,19980.736883986225,1
101,2125.5687138094254,1
102,-18988.47912274229,1
103,98003.0094296049,0
104,15988.778249725747,1
105,-9351.147756196537,0
106,9991.624829818158,1
107,-34824.49093735318,1
108,-23165.15428688518,0
109,-34980.11739780286,0
110,-58868.253909323816,0
111,6856.729778778001,1
112,-13391.376863360923,1
113,63892.969237854784,0
114,19980.736883986225,1
115,-63002.26621005025,0
116,50066.94656886741,0
117,-94243.29518790534,0
118,9991.624829818158,1
119,-1350.4506730958549,1
120,79825.96716446795,0
121,-20617.406440498817,1
122,-6549.289941309198,1
123,-13391.376863223088,1
124,113556.07265942071,0
125,54516.938630696,0
126,-44975.234153572106,0
127,-33618.45283842869,1
128,-9512.411483583894,1
129,88286.99121183682,0
130,-6019.558261081622,1
131,-61837.24336694868,0
132,54516.93864337692,0
133,-7870.435316530135,1
134,-14058.156553367246,0
135,-38.472153231668614,1
136,-24266.376225763383,1
137,-20617.406440636652,1
138,-5979.266711929468,1
139,13966.47607496824,1
140,3026.540088803177,1
141,-4392.159058173095,0
142,-15221.371996246491,1
143,-22224.318176018853,1
144,-171534.43743482055,0
145,193981.1987434716,0
146,2681.535222842531,1
147,92374.06503392477,0
148,-99298.31553185704,0
149,-8731.239882678145,1
150,50066.94657603487,0
151,-1780.4806651961107,1
152,15553.668179845206,1
153,184006.1977115661,0
154,160587.1666737438,0
155,-5635.547303238351,1
156,-52987.26761067326,0
157,3556.6399743304,1
158,-9351.147767085577,0
159,-72400.26967802132,0
160,121169.04787642825,0
161,115916.05553076803,0
162,6856.729778778001,1
163,-23016.462732162454,1
164,-1050.4396614402206,1
165,-34980.117396424495,0
166,80436.96523143582,0
167,35367.904024415795,0
168,-9512.411483583894,1
169,-66496.22595462536,0
170,-20764.562842958243,1
171,-20686.179076675424,0
172,-117571.20233510881,0
173,-22615.586657250853,1
174,20807.888213311566,0
175,60318.95475043076,0
176,8804.70874742127,1
177,-7274.461141522154,1
178,8424.700015069759,1
179,-6575.297131985446,1
180,132077.10337785265,0
181,45221.938963283734,0
182,-793.4817871505675,1
183,-1350.4506730958549,1
184,7661.846346604882,0
185,-94243.29520168893,0
186,-4614.281360024703,1
187,-32482.48271392703,1
188,-88575.28242082986,0
189,-45366.550955204504,1
190,-9915.450137737897,1
191,5025.636873721156,1
192,-20617.40644077449,1
193,75236.98914810833,0
194,-9677.346285368843,1
195,15553.66817970737,1
196,92374.06505211911,0
197,-5979.266712067305,1
198,-20617.406440636652,1
199,184006.19769089072,0
200,-20750.17111549153,0
201,55715.05027024925,0
202,-34824.49093735318,1
203,-9915.450137737897,1
204,-108333.32629223757,0
205,35468.90733052263,0
206,-117571.2023484789,0
207,-1050.4396613023846,1
208,-94243.29519383228,0
209,-14779.49275096097,1
210,7661.846354875038,0
211,127131.07588229775,0
212,15553.66817998304,1
213,67880.96079465772,0
214,55715.05028403284,0
215,-9915.450137600059,1
216,95571.01009983884,0
217,-34611.52212103146,1
218,-22177.444958818174,1
219,39123.91096296174,0
220,-169612.42884157275,0
221,13966.476075106071,1
222,54516.938643652575,0
223,264.5562959344982,1
224,6744.608974731268,1
225,6666.451323612768,1
226,-55058.238889590684,0
227,80436.9652308845,0
228,-116066.35567808362,0
229,-140929.39068232005,0
230,-38.47215336950457,1
231,6833.550535096689,1
232,-201056.40130922146,0
233,-23165.15427420427,0
234,132077.10336462036,0
235,-140717.3701595881,0
236,6856.729778640163,1
237,-9514.373729639427,1
238,-45366.550955204504,1
239,-76173.2504080131,0
240,20870.67006415372,1
241,-22224.318176156692,1
242,-17436.368724327658,1
243,-1050.4396614402206,1
244,-85113.30106264938,0
245,75236.98915472446,0
246,-94243.29520072408,0
247,-72883.26525757812,0
248,-99757.304707721,0
249,201773.20552272687,0
250,-4614.281360162538,1
251,-14058.156552678069,0
252,-9514.373729639427,1
253,-137935.39088895894,0
254,-201056.40130922146,0
255,68224.95566184112,0
256,-15221.371996246491,1
257,127131.07587664647,0
258,-38.472153231668614,1
259,9210.56048517377,1
260,-34824.490937491006,1
261,-45366.550955204504,1
262,242550.29210214762,0
263,-99757.30470703181,0
264,-74260.26015650899,0
265,-11695.384898868786,1
266,98470.0841808771,0
267,-164058.39739022267,0
268,160587.16667305466,0
269,6833.550535234524,1
270,13940.604297803986,1
271,5732.674947896253,1
272,-24266.376225901222,1
273,-7870.435316530135,1
274,2125.5687138094254,1
275,-793.4817871505675,1
276,160587.1666658872,0
277,-20672.36329309132,1
278,13083.625045213488,1
279,68224.95565274393,0
280,-25432.43307330684,1
281,3018.476949790648,1
282,-169612.42884198626,0
283,-6575.297131985446,1
284,-6019.5582612194585,1
285,-6315.3160292784805,1
286,-10541.163998922786,0
287,6833.55053537236,1
288,17782.657969074324,1
289,-38.47215309383265,1
290,-5272.347261247063,1
291,-137935.39088730488,0
292,-169880.43590742713,0
293,-3606.2300864106724,1
294,-3606.2300864106724,1
295,13966.476075106071,1
296,23967.8831390185,0
297,73507.03372398061,0
298,6666.451323337096,1
299,3750.6844769838744,1
300,-22435.281412589073,1
301,-34980.11742950513,0
302,-140717.37016151779,0
303,-74260.26015940354,0
304,-122865.35723318615,0
305,-55058.23888462858,0
306,15553.66817970737,1
307,-1350.4506730958549,1
308,-99297.30997610955,0
309,-94243.29518900803,0
310,-171534.4374286179,0
311,6833.550535096689,1
312,-21607.57135439355,1
313,13083.625045213488,1
314,-34824.49093735318,1
315,-3606.2300864106724,1
316,-5272.347261109227,1
317,-20686.17907047281,0
318,-8048.367709202339,1
319,68224.95565701685,0
320,-22615.586657250853,1
321,39123.91096199689,0
322,2125.5687138094254,1
323,201773.20552162422,0
324,-17436.368724189822,1
325,-108333.32630174825,0
326,-29722.20431288475,0
327,-15221.371996246491,1
328,-9514.373729639427,1
329,20807.888213862905,0
330,98003.00943442917,0
331,-6019.558261081622,1
332,8877.539940821236,1
333,5732.674948034089,1
334,-20694.383545809218,1
335,5025.636873721156,1
336,-4614.281360162538,1
337,-169880.43590770283,0
338,-23240.454167911816,1
339,54203.94464063914,0
340,-7870.43531666797,1
341,-9512.41148372173,1
342,-117571.20234448163,0
343,-99298.31552661926,0
344,-12919.534554912714,1
345,48946.94349796544,0
346,-55058.238893450085,0
347,-6580.419901832244,1
348,92374.06505639202,0
349,-15831.346802240256,1
350,-74260.26015237391,0
351,-61837.243368878386,0
352,-8048.367709202339,1
353,69916.98776018589,0
354,60318.95474533084,0
355,-12935.323037457945,1
356,128147.06865312291,0
357,-424.28718106147636,1
358,-24266.376225763383,1
359,2125.5687139472616,1
360,-34980.11740745138,0
361,3026.540088803177,1
362,-119201.35434475409,0
363,-45366.550955204504,1
364,-65406.25918566064,0
365,-65406.259178493165,0
366,-7713.153472061699,0
367,8804.708747559105,1
368,-88575.28241931368,0
369,128147.06865436344,0
370,-99297.30998038246,0
371,73507.03372398061,0
372,6666.451323612768,1
373,-23165.154271034044,0
374,-122865.35724738326,0
375,2125.5687138094254,1
376,-32886.58721296299,1
377,-1350.4506730958549,1
378,13940.60429794182,1
379,-20750.171120453622,0
380,22408.75871281544,1
381,23967.88314604813,0
382,6979.712321163836,1
383,-1050.4396614402206,1
384,-20694.383545947054,1
385,19980.736883986225,1
386,5732.674947896253,1
387,20807.888213173726,0
388,92374.06504233278,0
389,-34611.52212103146,1
390,-23620.409555377555,1
391,127131.07588064372,0
392,127131.07588009238,0
393,-11222.424044073561,1
394,-25432.433073582506,1
395,-5635.547303514023,1
396,-20617.406440636652,1
397,229870.23906549028,0
398,13908.602803650077,1
399,-3899.4424135933837,1
400,-18988.47912274229,1
401,201773.20552038366,0
402,-106844.19505769813,0
403,-55058.23887939082,0
404,61600.96562749029,0
405,37202.930659458136,0
406,-20750.17110336196,0
407,-3899.4424135933837,1
408,-108333.32629968069,0
409,-52987.26761301647,0
410,-20617.406440636652,1
411,-793.4817871505675,1
412,-14779.49275096097,1
413,-12919.534554912714,1
414,-9915.450137737897,1
415,143657.24093374098,0
416,127131.07586396557,0
417,-29722.204317433338,0
418,8804.70874742127,1
419,-424.2871809236404,1
420,-140929.39068741997,0
421,-34611.52212103146,1
422,55715.05030746495,0
423,-6315.316029140645,1
424,-33618.45283842869,1
425,-7713.153460896986,0
426,-140929.39068879836,0
427,121169.04786733109,0
428,6744.608974593433,1
429,-164058.3973971145,0
430,-1780.4806651961107,1
431,-29722.20432280894,0
432,15988.778249725747,1
433,-12935.323037320108,1
434,7661.846356804742,0
435,54516.938644479604,0
436,-18988.47912260445,1
437,229870.2390656281,0
438,-2846.359396054176,1
439,-14439.30624955874,1
440,-54760.559128526744,1
441,2094.64036990166,1
442,15553.668179845206,1
443,-29722.204316192816,0
444,-6575.297131985446,1
445,-8048.367709202339,1
446,98470.08417605283,0
447,6833.550535234524,1
448,17782.657969349988,1
449,-34611.52212103146,1
450,-8731.23988281598,1
451,-29722.20432211976,0
452,50066.946577964576,0
453,13940.604297803986,1
454,-13391.376863360923,1
455,61600.96563010917,0
456,-20750.1711054295,0
457,121169.04786829594,0
458,-63002.26620384763,0
459,39123.9109540024,0
460,-14779.49275109881,1
