Mean Block Receive Time_x,Mean Block Size,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Total average traffic/node,Label
775.747,714262,0.799863,1.27706,1.39159,1343.94,0
479.356,525864,0.66929,0.897063,0.935389,990.696,0
743.345,544223,625.239,625.729,625.853,1011.16,1
810.836,552665,214.815,215.014,215.06,1022.91,1
495.432,464850,0.663638,0.829317,0.902464,876.294,0
798.721,522386,439.64,440.002,440.084,968.594,1
432.231,445143,0.759372,0.971695,1.06264,839.343,0
660.391,724237,0.765763,0.862735,0.988143,1362.64,0
761.996,496638,396.405,396.735,396.869,921.732,1
640.011,600173,0.751953,0.873435,0.972134,1130.02,0
776.532,508649,614.206,614.689,614.819,944.735,1
476.498,565725,0.800122,1.04929,1.14366,1065.44,0
567.324,468419,0.689497,0.991239,1.07558,882.987,0
863.022,526650,136.854,137.112,137.144,972.545,1
432.234,445143,0.759372,0.971695,1.06264,839.343,0
504.934,457856,0.692586,0.994509,1.03875,863.18,0
621.306,520905,0.650614,0.787116,0.832724,981.397,0
461.327,389327,0.68801,1.0007,1.03476,734.689,0
1116.02,329200,0.67022,0.930045,0.971915,621.95,0
750.214,463760,0.726917,1.01247,1.05379,874.251,0
606.53,389539,0.596539,0.702816,0.749286,735.085,0
834.319,506636,366.328,366.697,366.77,938.876,1
1153.57,495276,0.661018,0.818773,0.848512,933.342,0
798.72,522386,439.64,440.002,440.084,968.594,1
743.345,544223,625.239,625.729,625.853,1011.16,1
693.928,366198,0.668537,0.895589,0.927563,691.321,0
811.679,537090,496.351,496.698,496.744,994.148,1
864.307,524277,195.433,195.635,195.658,970.88,1
766.876,515035,311.97,312.28,312.297,953.239,1
817.863,546245,162.044,162.289,162.321,1008.24,1
415.77,467254,0.650265,0.994336,1.07234,880.802,0
518.286,584460,0.712593,0.79259,0.897001,1100.56,0
797.902,508032,212.778,212.996,213.074,938.41,1
479.326,525864,0.66929,0.897063,0.935389,990.696,0
441.172,554224,0.740077,1.13212,1.2236,1043.87,0
817.204,534007,287.286,287.602,287.655,989.706,1
638.808,505209,343.936,344.273,344.315,965.201,1
799.728,526357,460.552,461.019,461.047,975.891,1
457.943,569380,0.738814,0.998428,1.04671,1072.29,0
818.496,520742,343.936,344.273,344.315,965.201,1
927.894,622630,0.789483,1.03517,1.15893,1172.13,0
611.784,510208,611.904,612.378,612.423,973.376,1
819.566,539061,259.097,259.361,259.451,997.652,1
785.785,528476,526.066,526.46,526.669,981.3,1
800.659,543340,399.43,399.78,399.827,1007.24,1
1153.61,495276,0.661018,0.818773,0.848512,933.342,0
774.624,548039,356.473,356.804,356.855,1016.43,1
559.72,522543,0.602118,0.737494,0.79176,984.468,0
370.112,610082,0.652792,0.991517,1.00107,1148.6,0
811.68,537090,496.351,496.698,496.744,994.148,1
834.319,506636,366.328,366.697,366.77,938.876,1
554.469,412685,0.592206,0.68474,0.740479,851.205,0
796.746,495645,506.143,506.546,506.575,919.284,1
499.257,430958,0.637869,0.84837,0.943721,812.747,0
864.449,529832,240.687,240.975,241.022,981.101,1
830.52,505990,313,313.243,313.301,937.788,1
775.613,529463,525.23,525.558,525.633,982.095,1
582.684,580323,0.669102,0.874683,0.951539,1092.81,0
527.765,635086,0.789948,1.14678,1.25555,1195.49,0
559.713,522543,0.602118,0.737494,0.79176,984.468,0
790.995,532599,273.36,273.632,273.662,988.902,1
494.348,358722,0.593446,0.914479,0.934888,677.304,0
928.036,622630,0.789483,1.03517,1.15893,1172.13,0
774.623,548039,356.473,356.804,356.855,1016.43,1
778.281,530842,294.5,294.804,294.821,982.101,1
789.682,528906,481.747,482.076,482.248,982.054,1
733.469,535282,343.731,344.109,344.159,991.295,1
693.868,366198,0.668537,0.895589,0.927563,691.321,0
586.195,575478,0.697807,0.78886,0.887863,1083.72,0
775.987,508079,411.683,411.967,412.116,941.402,1
518.237,584460,0.712593,0.79259,0.897001,1100.56,0
820.614,523941,259.703,259.988,260.059,969.755,1
781.226,523676,416.324,416.718,416.749,971.288,1
775.728,714262,0.799863,1.27706,1.39159,1343.94,0
810.794,532351,353.606,353.952,353.957,988.015,1
847.047,551127,348.617,348.966,349.028,1017.86,1
810.795,532351,353.606,353.952,353.957,988.015,1
743.345,544223,625.239,625.729,625.853,1011.16,1
586.632,395836,0.691152,0.85408,0.904384,746.894,0
746.082,414006,0.6465,0.711692,0.730506,780.962,0
863.022,526650,136.854,137.112,137.144,972.545,1
621.28,520905,0.650614,0.787116,0.832724,981.397,0
801.999,539134,516.173,516.633,516.742,998.115,1
757.084,540248,381.73,381.967,382.031,1001.14,1
606.582,389539,0.596539,0.702816,0.749286,735.085,0
819.786,558228,0.648697,0.834026,0.85644,1051.38,0
621.306,520905,0.650614,0.787116,0.832724,981.397,0
495.468,464850,0.663638,0.829317,0.902464,876.294,0
582.884,430499,0.631353,0.708518,0.761349,811.887,0
490.713,625827,0.801176,1.15063,1.24127,1178.13,0
817.587,522208,338.107,338.402,338.471,967.889,1
790.479,504824,387.318,387.57,387.724,935.035,1
432.231,445143,0.759372,0.971695,1.06264,839.343,0
624.074,567459,0.686319,0.95523,1.04635,1068.69,0
531.072,421923,0.613007,0.833959,0.881533,795.806,0
615.542,516198,0.669203,1.01048,1.07695,972.571,0
775.612,529463,525.23,525.558,525.633,982.095,1
