Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,599.67,0.719242,657248,10,0,3,1799.01,581112,0.289,0,11700,16770,7290,972,1050,7875,5850,780,4172435,26154105,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

1,599.722,0.837398,657248,10,0,0,0,0,0.196,0,17550,16380,0,1458,1575,0,0,1170,5916042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

2,599.715,0.816004,657248,10,0,1,3749.27,533530,0.159,0,15600,16510,2430,1296,1400,2625,1950,1040,5382422,8004300,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

3,599.784,0.642507,657248,10,0,3,954.538,702766,0.133,0,11700,16770,7290,972,1050,7875,5850,780,3807475,31628505,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

4,599.709,0.805231,657248,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,5916042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

5,599.804,0.817174,657248,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,5916042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

6,599.763,0.632392,657248,10,0,1,1787.9,582353,0.029,0,15600,16510,2430,1296,1400,2625,1950,1040,5333599,8736645,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

7,599.757,0.586019,657248,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,5916042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

8,599.832,0.866323,657248,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5916042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

9,599.825,0.768476,657248,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5916042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

10,599.811,0.7264,657248,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5916042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

11,599.77,0.659223,657248,10,0,1,4888.43,947715,0.009,0,15600,16510,2430,1296,1400,2625,1950,1040,4968237,14217075,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

12,599.797,0.795729,657248,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5916042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

13,599.818,0.727229,657248,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5916042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

14,599.791,0.697415,657248,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5916042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

15,599.839,0.929114,657248,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5916042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

0,599.67,0.719242,657248,10,0,3,1799.01,581112,0.289,0,11700,16770,7290,972,1050,7875,5850,780,4172435,26154105,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

1,599.722,0.837398,657248,10,0,0,0,0,0.196,0,17550,16380,0,1458,1575,0,0,1170,5916042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

2,599.715,0.816004,657248,10,0,1,3749.27,533530,0.159,0,15600,16510,2430,1296,1400,2625,1950,1040,5382422,8004300,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

3,599.784,0.642507,657248,10,0,3,954.538,702766,0.133,0,11700,16770,7290,972,1050,7875,5850,780,3807475,31628505,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

4,599.709,0.805231,657248,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,5916042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

5,599.804,0.817174,657248,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,5916042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

6,599.763,0.632392,657248,10,0,1,1787.9,582353,0.029,0,15600,16510,2430,1296,1400,2625,1950,1040,5333599,8736645,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0

