Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,567.515,0.543302,440553,11,0,1,5526.19,787786,0.289,0,17550,18330,2430,1458,1575,2625,1950,1170,3618558,11818140,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
1,567.485,0.491124,440553,11,0,4,1418.71,391515,0.196,0,11700,18720,9720,972,1050,10500,7800,780,2840013,23496315,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
2,567.516,0.562898,440553,11,0,1,110.145,540360,0.159,0,17550,18330,2430,1458,1575,2625,1950,1170,3865984,8106750,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
3,567.578,0.722882,440553,11,0,1,796.735,1005,0.133,0,17550,18330,2430,1458,1575,2625,1950,1170,4405339,16425,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
4,567.517,0.610038,440553,11,0,0,0,0,0.066,0,19500,18200,0,1620,1750,0,0,1300,4406434,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
5,567.58,0.847769,440553,11,0,0,0,0,0.054,0,19500,18200,0,1620,1750,0,0,1300,4406434,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
6,567.561,0.610301,440553,11,0,2,1655.35,281874,0.029,0,15600,18460,4860,1296,1400,5250,3900,1040,3842507,8458905,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
7,567.563,0.635259,440553,11,0,0,0,0,0.016,0,19500,18200,0,1620,1750,0,0,1300,4406434,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
8,567.585,0.873893,440553,11,0,0,0,0,0.012,0,19500,18200,0,1620,1750,0,0,1300,4406434,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
9,567.587,0.814739,440553,11,0,1,4952.09,946575,0.012,0,17550,18330,2430,1458,1575,2625,1950,1170,3459769,14199975,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
