Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,467.485,0.608126,380219,11,0,1,4674.85,59165,0.289,0,17550,18330,2430,1458,1575,2625,1950,1170,3743838,888825,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
1,467.515,0.630408,380219,11,0,1,1558.81,183529,0.196,0,17550,18330,2430,1458,1575,2625,1950,1170,3619474,2754285,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
2,467.515,0.56108,380219,11,0,3,1494.31,347596,0.159,0,13650,18590,7290,1134,1225,7875,5850,910,2760035,15645870,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
3,467.577,0.673455,380219,11,0,2,2259.63,668041,0.133,0,15600,18460,4860,1296,1400,5250,3900,1040,2466831,20043930,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
4,467.514,0.62155,380219,11,0,1,623.519,246535,0.066,0,17550,18330,2430,1458,1575,2625,1950,1170,3556468,3699375,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
5,467.579,0.843888,380219,11,0,0,0,0,0.054,0,19500,18200,0,1620,1750,0,0,1300,3803093,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
6,467.558,0.647517,380219,11,0,1,336.422,773091,0.029,0,17550,18330,2430,1458,1575,2625,1950,1170,3029912,11597715,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
7,467.557,0.633365,380219,11,0,0,0,0,0.016,0,19500,18200,0,1620,1750,0,0,1300,3803093,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
8,467.582,0.758001,380219,11,0,1,4576.47,161003,0.012,0,17550,18330,2430,1458,1575,2625,1950,1170,3642000,2416395,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
9,467.581,0.699834,380219,11,0,0,0,0,0.012,0,19500,18200,0,1620,1750,0,0,1300,3803093,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
10,467.579,0.742248,380219,11,0,0,0,0,0.012,0,19500,18200,0,1620,1750,0,0,1300,3803093,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
11,467.559,0.663629,380219,11,0,0,0,0,0.009,0,19500,18200,0,1620,1750,0,0,1300,3803093,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
12,467.578,0.795968,380219,11,0,0,0,0,0.005,0,19500,18200,0,1620,1750,0,0,1300,3803093,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
13,467.58,0.702709,380219,11,0,0,0,0,0.005,0,19500,18200,0,1620,1750,0,0,1300,3803093,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
14,467.578,0.711605,380219,11,0,0,0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,3803093,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
15,467.583,0.85429,380219,11,0,0,0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,3803093,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
