Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
599.775,0.751617,657248,160,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0
599.775,0.751617,657248,320,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0
599.775,0.751617,657248,480,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0
599.775,0.751617,657248,640,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0
599.775,0.751617,657248,800,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0
599.775,0.751617,657248,960,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,960,0,0,0,0
599.775,0.751617,657248,1120,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,1120,0,0,0,0
599.775,0.751617,657248,1280,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0
599.775,0.751617,657248,1440,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0
599.775,0.751617,657248,1600,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0
599.775,0.751617,657248,1760,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,1760,0,0,0,0
599.775,0.751617,657248,1920,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0
599.775,0.751617,657248,2080,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,2080,0,0,0,0
599.775,0.751617,657248,2240,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,2240,0,0,0,0
599.775,0.751617,657248,2400,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0
599.775,0.751617,657248,2560,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,2560,0,0,0,0
599.775,0.751617,657248,2720,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,2720,0,0,0,0
599.775,0.751617,657248,2880,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,2880,0,0,0,0
599.775,0.751617,657248,3040,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,3040,0,0,0,0
599.775,0.751617,657248,3200,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,0
599.775,0.751617,657248,3360,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,3360,0,0,0,0
599.775,0.751617,657248,3520,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,3520,0,0,0,0
599.775,0.751617,657248,3680,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,3680,0,0,0,0
