Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
432.833,0.721523,653156,176,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0
432.833,0.721523,653156,352,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0
432.833,0.721523,653156,528,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0
432.833,0.721523,653156,704,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,704,0,0,0,0
432.833,0.721523,653156,880,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,880,0,0,0,0
432.833,0.721523,653156,1056,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,1056,0,0,0,0
432.833,0.721523,653156,1232,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,1232,0,0,0,0
432.833,0.721523,653156,1408,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,1408,0,0,0,0
432.833,0.721523,653156,1584,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,1584,0,0,0,0
432.833,0.721523,653156,1760,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,1760,0,0,0,0
432.833,0.721523,653156,1936,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,1936,0,0,0,0
432.833,0.721523,653156,2112,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0
432.833,0.721523,653156,2288,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,2288,0,0,0,0
432.833,0.721523,653156,2464,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,2464,0,0,0,0
432.833,0.721523,653156,2640,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,2640,0,0,0,0
432.833,0.721523,653156,2816,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,2816,0,0,0,0
432.833,0.721523,653156,2992,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,2992,0,0,0,0
432.833,0.721523,653156,3168,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,3168,0,0,0,0
432.833,0.721523,653156,3344,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,3344,0,0,0,0
432.833,0.721523,653156,3520,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,3520,0,0,0,0
432.833,0.721523,653156,3696,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,3696,0,0,0,0
432.833,0.721523,653156,3872,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,3872,0,0,0,0
432.833,0.721523,653156,4048,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,4048,0,0,0,0
432.833,0.721523,653156,4224,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,4224,0,0,0,0
432.833,0.721523,653156,4400,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,4400,0,0,0,0
432.833,0.721523,653156,4576,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,4576,0,0,0,0
432.833,0.721523,653156,4752,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,4752,0,0,0,0
432.833,0.721523,653156,4928,0,18281.2,18281.3,1518.75,1518.75,1640.63,1640.62,1218.75,1218.75,6.12418e+06,6.12418e+06,0,0,0,0,0,0,0,0,0,0,0,0,4928,0,0,0,0
