Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
809.2,513.885,511225,741,84,1.09977e+06,1.36903e+06,415530,75330,89799,448875,333450,64194,2.8736e+08,1.36506e+09,8,168,657,0,0,0,0
809.2,513.908,511225,1482,168,1.12902e+06,1.36708e+06,379080,77760,92424,409500,304200,66144,2.96299e+08,1.23096e+09,8,168,1314,0,0,0,0
809.201,514.071,511225,2223,252,1.15242e+06,1.36552e+06,349920,79704,94524,378000,280800,67704,3.03954e+08,1.11614e+09,8,168,1971,0,0,0,0
809.2,514.058,511225,2964,336,1.18996e+06,1.36302e+06,303142,82822.5,97892.8,327469,243262,70206.5,3.13278e+08,9.76288e+08,8,168,2628,0,0,0,0
809.201,514.151,511225,3705,420,1.22184e+06,1.36089e+06,263412,85471.2,100754,284550,211380,72332,3.21908e+08,8.46833e+08,8,168,3285,0,0,0,0
809.201,514.148,511225,4446,504,1.25187e+06,1.35889e+06,225990,87966,103449,244125,181350,74334,3.29991e+08,7.25585e+08,8,168,3942,0,0,0,0
809.201,514.153,511225,5187,588,1.27416e+06,1.3574e+06,198219,89817.4,105449,214125,159064,75819.7,3.35659e+08,6.40575e+08,8,168,4599,0,0,0,0
809.201,514.213,511225,5928,672,1.29258e+06,1.35618e+06,175264,91347.8,107102,189328,140644,77047.8,3.40656e+08,5.65606e+08,8,168,5256,0,0,0,0
809.201,514.243,511225,6669,756,1.30517e+06,1.35534e+06,159570,92394,108232,172375,128050,77887.3,3.44104e+08,5.139e+08,8,168,5913,0,0,0,0
809.201,514.266,511225,7410,840,1.31603e+06,1.35461e+06,146043,93295.8,109206,157762,117195,78611,3.46803e+08,4.73408e+08,8,168,6570,0,0,0,0
809.201,514.265,511225,8151,924,1.32562e+06,1.35397e+06,134092,94092.5,110067,144852,107605,79250.4,3.4931e+08,4.35804e+08,8,168,7227,0,0,0,0
809.201,514.297,511225,8892,1008,1.33361e+06,1.35344e+06,124133,94756.5,110784,134094,99612.5,79783.2,3.51422e+08,4.04121e+08,8,168,7884,0,0,0,0
809.201,514.308,511225,9633,1092,1.34082e+06,1.35296e+06,115145,95355.7,111432,124385,92400,80264,3.5339e+08,3.74598e+08,8,168,8541,0,0,0,0
809.201,514.335,511225,10374,1176,1.34728e+06,1.35253e+06,107094,95892.4,112012,115688,85939.3,80694.7,3.55108e+08,3.4883e+08,8,168,9198,0,0,0,0
809.201,514.355,511225,11115,1260,1.35275e+06,1.35216e+06,100278,96346.8,112502,108325,80470,81059.3,3.56566e+08,3.26956e+08,8,168,9855,0,0,0,0
797.327,475.189,510225,12032,1520,1.34365e+06,1.34365e+06,96592.5,96592.5,112241,112241,81022.5,81022.5,3.54716e+08,3.54716e+08,8.125,189.938,10512,0,0,0,0
798.016,477.433,510283,12773,1604,1.09977e+06,1.36903e+06,415530,75330,89799,448875,333450,64194,2.8736e+08,1.36506e+09,8,168,11169,0,0,0,0
798.629,479.435,510334,13514,1688,1.12902e+06,1.36708e+06,379080,77760,92424,409500,304200,66144,2.96299e+08,1.23096e+09,8,168,11826,0,0,0,0
799.179,481.252,510381,14255,1772,1.15242e+06,1.36552e+06,349920,79704,94524,378000,280800,67704,3.03954e+08,1.11614e+09,8,168,12483,0,0,0,0
799.674,482.871,510422,14996,1856,1.18996e+06,1.36302e+06,303142,82822.5,97892.8,327469,243262,70206.5,3.13278e+08,9.76288e+08,8,168,13140,0,0,0,0
800.123,484.362,510460,15737,1940,1.22184e+06,1.36089e+06,263412,85471.2,100754,284550,211380,72332,3.21908e+08,8.46833e+08,8,168,13797,0,0,0,0
800.531,485.7,510495,16478,2024,1.25187e+06,1.35889e+06,225990,87966,103449,244125,181350,74334,3.29991e+08,7.25585e+08,8,168,14454,0,0,0,0
800.904,486.926,510526,17219,2108,1.27416e+06,1.3574e+06,198219,89817.4,105449,214125,159064,75819.7,3.35659e+08,6.40575e+08,8,168,15111,0,0,0,0
