Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
770.719,615.878,533264,12443,1514,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,10929,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,24886,3028,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,21858,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,37329,4542,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,32787,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,49772,6056,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,43716,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,62215,7570,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,54645,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,74658,9084,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,65574,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,87101,10598,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,76503,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,99544,12112,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,87432,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,111987,13626,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,98361,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,124430,15140,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,109290,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,136873,16654,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,120219,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,149316,18168,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,131148,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,161759,19682,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,142077,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,174202,21196,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,153006,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,186645,22710,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,163935,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,199088,24224,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,174864,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,211531,25738,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,185793,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,223974,27252,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,196722,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,236417,28766,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,207651,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,248860,30280,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,218580,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,261303,31794,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,229509,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,273746,33308,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,240438,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,286189,34822,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,251367,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,298632,36336,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,262296,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,311075,37850,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,273225,0,0,0,0,,,,,,,,,,
