Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,818.507,306.931,526314,733,50,184,3237.83,524324,0.185,0,1063336,1356160,447120,79704,90636,483000,358800,65976,288830609,1447383825,0,0,0,0,0,0,0,0,0,0,7,100,15,0,0,0,0,0,0,0,0
1,818.507,306.931,526314,733,50,174,3407.22,489567,0.159,0,1082836,1354860,422820,81324,92386,456750,339300,67276,300122517,1278005205,0,0,0,0,0,0,0,0,0,0,7,100,15,0,0,0,0,0,0,0,0
2,818.506,307.38,526314,733,50,106,5652.32,545133,0.133,0,1215436,1346020,257580,92340,104286,278250,206700,76116,327529254,866904150,0,0,0,0,0,0,0,0,0,0,7,100,15,0,0,0,0,0,0,0,0
3,818.507,306.918,526314,733,50,75,7969.25,639793,0.066,0,1275886,1341990,182250,97362,109711,196875,146250,80146,337331626,719868570,0,0,0,0,0,0,0,0,0,0,7,100,15,0,0,0,0,0,0,0,0
4,818.506,307.412,526314,733,50,44,13231.2,523133,0.054,0,1336336,1337960,106920,102384,115136,115500,85800,84176,362301046,345327270,0,0,0,0,0,0,0,0,0,0,7,100,15,0,0,0,0,0,0,0,0
5,818.506,307.127,526314,733,50,23,25331.4,574412,0.029,0,1377286,1335230,55890,105786,118811,60375,44850,86906,372109325,198203085,0,0,0,0,0,0,0,0,0,0,7,100,15,0,0,0,0,0,0,0,0
6,818.506,307.127,526314,733,50,15,39430.7,574956,0.016,0,1392886,1334190,36450,107082,120211,39375,29250,87946,376697167,129385455,0,0,0,0,0,0,0,0,0,0,7,100,15,0,0,0,0,0,0,0,0
7,818.506,307.461,526314,733,50,7,77625.6,483818,0.012,0,1408486,1333150,17010,108378,121611,18375,13650,88986,381935511,50810295,0,0,0,0,0,0,0,0,0,0,7,100,15,0,0,0,0,0,0,0,0
8,818.506,307.381,526314,733,50,15,36947.5,655893,0.012,0,1392886,1334190,36450,107082,120211,39375,29250,87946,375483125,147596085,0,0,0,0,0,0,0,0,0,0,7,100,15,0,0,0,0,0,0,0,0
9,818.506,307.425,526314,733,50,11,52256.1,499291,0.012,0,1400686,1333670,26730,107730,120911,28875,21450,88466,379829674,82397850,0,0,0,0,0,0,0,0,0,0,7,100,15,0,0,0,0,0,0,0,0
10,818.506,307.179,526314,733,50,3,190639,435480,0.009,0,1416286,1332630,7290,109026,122311,7875,5850,89506,384016154,19600650,0,0,0,0,0,0,0,0,0,0,7,100,15,0,0,0,0,0,0,0,0
11,818.506,307.299,526314,733,50,5,108937,592417,0.005,0,1412386,1332890,12150,108702,121961,13125,9750,89246,382360329,44438025,0,0,0,0,0,0,0,0,0,0,7,100,15,0,0,0,0,0,0,0,0
12,818.506,307.468,526314,733,50,3,192059,678946,0.005,0,1416286,1332630,7290,109026,122311,7875,5850,89506,383285755,30556635,0,0,0,0,0,0,0,0,0,0,7,100,15,0,0,0,0,0,0,0,0
13,818.506,307.459,526314,733,50,0,0,2.37152e-322,0.002,0,1422136,1332240,0,109512,122836,0,0,89896,385322864,0,0,0,0,0,0,0,0,0,0,0,7,100,15,0,0,0,0,0,0,0,0
14,818.506,307.478,526314,733,50,2,206548,613960,0.002,0,1418236,1332500,4860,109188,122486,5250,3900,89636,384094764,18421500,0,0,0,0,0,0,0,0,0,0,7,100,15,0,0,0,0,0,0,0,0
15,630.871,0.445188,510395,951,266,283,2119.65,447369,0.3,9,1300650,1261730,21870,108054,116725,91665,47790,86710,358593240,400944360,0,0,0,0,0,0,0,0,0,0,9,532,15,0,0,65,0,0,0,1,0
