Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
818.507,306.931,526314,733,50,1.06334e+06,1.35616e+06,447120,79704,90636,483000,358800,65976,2.88831e+08,1.44738e+09,7,100,683,0,0,0,0
818.507,306.931,526314,1466,100,1.07309e+06,1.35551e+06,434970,80514,91511,469875,349050,66626,2.94477e+08,1.36269e+09,7,100,1366,0,0,0,0
818.507,307.081,526314,2199,150,1.12054e+06,1.35235e+06,375840,84456,95769.3,406000,301600,69789.3,3.05494e+08,1.19743e+09,7,100,2049,0,0,0,0
818.507,307.04,526314,2932,200,1.15937e+06,1.34976e+06,327442,87682.5,99254.8,353719,262762,72378.5,3.13454e+08,1.07804e+09,7,100,2732,0,0,0,0
818.507,307.114,526314,3665,250,1.19477e+06,1.3474e+06,283338,90622.8,102431,306075,227370,74738,3.23223e+08,9.31498e+08,7,100,3415,0,0,0,0
818.506,307.116,526314,4398,300,1.22519e+06,1.34537e+06,245430,93150,105161,265125,196950,76766,3.31371e+08,8.09282e+08,7,100,4098,0,0,0,0
818.506,307.118,526314,5131,350,1.24914e+06,1.34377e+06,215576,95140.3,107311,232875,172993,78363.1,3.37846e+08,7.12154e+08,7,100,4781,0,0,0,0
818.506,307.161,526314,5864,400,1.26906e+06,1.34244e+06,190755,96795,109098,206062,153075,79691,3.43357e+08,6.29486e+08,7,100,5464,0,0,0,0
818.506,307.185,526314,6597,450,1.28282e+06,1.34153e+06,173610,97938,110333,187542,139317,80608.2,3.46927e+08,5.75943e+08,7,100,6147,0,0,0,0
818.506,307.209,526314,7330,500,1.29461e+06,1.34074e+06,158922,98917.2,111391,171675,127530,81394,3.50217e+08,5.26588e+08,7,100,6830,0,0,0,0
818.506,307.206,526314,8063,550,1.30567e+06,1.34e+06,145137,99836.2,112384,156784,116468,82131.5,3.5329e+08,4.80498e+08,7,100,7513,0,0,0,0
818.506,307.214,526314,8796,600,1.31456e+06,1.33941e+06,134055,100575,113182,144812,107575,82724.3,3.55712e+08,4.4416e+08,7,100,8196,0,0,0,0
818.506,307.234,526314,9529,650,1.32239e+06,1.33889e+06,124304,101225,113884,134279,99750,83246,3.57833e+08,4.12344e+08,7,100,8879,0,0,0,0
