Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
823.145,396.235,508454,727,52,1.07976e+06,1.34329e+06,410670,79218,91083,443625,329550,66018,2.76059e+08,1.39707e+09,8,104,675,0,0,0,0
823.145,396.246,508454,1454,104,1.08951e+06,1.34264e+06,398520,80028,91958,430500,319800,66668,2.83474e+08,1.28584e+09,8,104,1350,0,0,0,0
823.145,396.38,508454,2181,156,1.12266e+06,1.34043e+06,357210,82782,94933,385875,286650,68878,2.91289e+08,1.16862e+09,8,104,2025,0,0,0,0
823.145,396.371,508454,2908,208,1.16263e+06,1.33776e+06,307395,86103,98520.5,332062,246675,71543,3.03029e+08,9.92511e+08,8,104,2700,0,0,0,0
823.145,396.438,508454,3635,260,1.19286e+06,1.33575e+06,269730,88614,101233,291375,216450,73558,3.10815e+08,8.75733e+08,8,104,3375,0,0,0,0
823.145,396.437,508454,4362,312,1.22178e+06,1.33382e+06,233685,91017,103829,252438,187525,75486.3,3.19121e+08,7.5113e+08,8,104,4050,0,0,0,0
823.145,396.441,508454,5089,364,1.24356e+06,1.33237e+06,206550,92826,105783,223125,165750,76938,3.24806e+08,6.65864e+08,8,104,4725,0,0,0,0
823.145,396.491,508454,5816,416,1.26038e+06,1.33125e+06,185591,94223.2,107292,200484,148931,78059.2,3.29388e+08,5.97139e+08,8,104,5400,0,0,0,0
823.145,396.516,508454,6543,468,1.27497e+06,1.33028e+06,167400,95436,108602,180833,134333,79032.4,3.33456e+08,5.36115e+08,8,104,6075,0,0,0,0
823.145,396.534,508454,7270,520,1.28646e+06,1.32951e+06,153090,96390,109633,165375,122850,79798,3.36338e+08,4.92885e+08,8,104,6750,0,0,0,0
823.145,396.533,508454,7997,572,1.29656e+06,1.32884e+06,140498,97229.5,110540,151773,112745,80471.6,3.39066e+08,4.51966e+08,8,104,7425,0,0,0,0
823.145,396.555,508454,8724,624,1.30531e+06,1.32825e+06,129600,97956,111325,140000,104000,81054.7,3.41425e+08,4.16575e+08,8,104,8100,0,0,0,0
823.145,396.566,508454,9451,676,1.31286e+06,1.32775e+06,120192,98583.2,112002,129837,96450,81558,3.43487e+08,3.85651e+08,8,104,8775,0,0,0,0
823.145,396.588,508454,10178,728,1.31961e+06,1.3273e+06,111780,99144,112608,120750,89700,82008,3.45252e+08,3.59171e+08,8,104,9450,0,0,0,0
823.145,396.602,508454,10905,780,1.3252e+06,1.32693e+06,104814,99608.4,113110,113225,84110,82380.7,3.46729e+08,3.37016e+08,8,104,10125,0,0,0,0
809.933,365.875,506977,11822,1022,1.32123e+06,1.32123e+06,99933.8,99933.8,113117,113117,82488.8,82488.8,3.46122e+08,3.46122e+08,8,127.75,10800,0,0,0,0
810.699,367.634,507063,12549,1074,1.07976e+06,1.34329e+06,410670,79218,91083,443625,329550,66018,2.76059e+08,1.39707e+09,8,104,11475,0,0,0,0
811.38,369.201,507139,13276,1126,1.08951e+06,1.34264e+06,398520,80028,91958,430500,319800,66668,2.83474e+08,1.28584e+09,8,104,12150,0,0,0,0
811.991,370.626,507207,14003,1178,1.12266e+06,1.34043e+06,357210,82782,94933,385875,286650,68878,2.91289e+08,1.16862e+09,8,104,12825,0,0,0,0
812.541,371.896,507269,14730,1230,1.16263e+06,1.33776e+06,307395,86103,98520.5,332062,246675,71543,3.03029e+08,9.92511e+08,8,104,13500,0,0,0,0
813.04,373.062,507325,15457,1282,1.19286e+06,1.33575e+06,269730,88614,101233,291375,216450,73558,3.10815e+08,8.75733e+08,8,104,14175,0,0,0,0
813.494,374.112,507375,16184,1334,1.22178e+06,1.33382e+06,233685,91017,103829,252438,187525,75486.3,3.19121e+08,7.5113e+08,8,104,14850,0,0,0,0
813.909,375.073,507422,16911,1386,1.24356e+06,1.33237e+06,206550,92826,105783,223125,165750,76938,3.24806e+08,6.65864e+08,8,104,15525,0,0,0,0
814.29,375.97,507464,17638,1438,1.26038e+06,1.33125e+06,185591,94223.2,107292,200484,148931,78059.2,3.29388e+08,5.97139e+08,8,104,16200,0,0,0,0
814.64,376.792,507503,18365,1490,1.27497e+06,1.33028e+06,167400,95436,108602,180833,134333,79032.4,3.33456e+08,5.36115e+08,8,104,16875,0,0,0,0
814.964,377.549,507540,19092,1542,1.28646e+06,1.32951e+06,153090,96390,109633,165375,122850,79798,3.36338e+08,4.92885e+08,8,104,17550,0,0,0,0
815.264,378.246,507573,19819,1594,1.29656e+06,1.32884e+06,140498,97229.5,110540,151773,112745,80471.6,3.39066e+08,4.51966e+08,8,104,18225,0,0,0,0
815.543,378.902,507604,20546,1646,1.30531e+06,1.32825e+06,129600,97956,111325,140000,104000,81054.7,3.41425e+08,4.16575e+08,8,104,18900,0,0,0,0
815.803,379.51,507633,21273,1698,1.31286e+06,1.32775e+06,120192,98583.2,112002,129837,96450,81558,3.43487e+08,3.85651e+08,8,104,19575,0,0,0,0
816.045,380.084,507660,22000,1750,1.31961e+06,1.3273e+06,111780,99144,112608,120750,89700,82008,3.45252e+08,3.59171e+08,8,104,20250,0,0,0,0
816.272,380.618,507686,22727,1802,1.3252e+06,1.32693e+06,104814,99608.4,113110,113225,84110,82380.7,3.46729e+08,3.37016e+08,8,104,20925,0,0,0,0
809.933,365.875,506977,23644,2044,1.32123e+06,1.32123e+06,99933.8,99933.8,113117,113117,82488.8,82488.8,3.46122e+08,3.46122e+08,8,127.75,21600,0,0,0,0
810.327,366.781,507021,24371,2096,1.07976e+06,1.34329e+06,410670,79218,91083,443625,329550,66018,2.76059e+08,1.39707e+09,8,104,22275,0,0,0,0
810.699,367.635,507063,25098,2148,1.08951e+06,1.34264e+06,398520,80028,91958,430500,319800,66668,2.83474e+08,1.28584e+09,8,104,22950,0,0,0,0
811.049,368.451,507102,25825,2200,1.12266e+06,1.34043e+06,357210,82782,94933,385875,286650,68878,2.91289e+08,1.16862e+09,8,104,23625,0,0,0,0
811.38,369.215,507139,26552,2252,1.16263e+06,1.33776e+06,307395,86103,98520.5,332062,246675,71543,3.03029e+08,9.92511e+08,8,104,24300,0,0,0,0
811.694,369.948,507174,27279,2304,1.19286e+06,1.33575e+06,269730,88614,101233,291375,216450,73558,3.10815e+08,8.75733e+08,8,104,24975,0,0,0,0
811.991,370.635,507207,28006,2356,1.22178e+06,1.33382e+06,233685,91017,103829,252438,187525,75486.3,3.19121e+08,7.5113e+08,8,104,25650,0,0,0,0
812.273,371.289,507239,28733,2408,1.24356e+06,1.33237e+06,206550,92826,105783,223125,165750,76938,3.24806e+08,6.65864e+08,8,104,26325,0,0,0,0
812.541,371.919,507269,29460,2460,1.26038e+06,1.33125e+06,185591,94223.2,107292,200484,148931,78059.2,3.29388e+08,5.97139e+08,8,104,27000,0,0,0,0
812.797,372.516,507297,30187,2512,1.27497e+06,1.33028e+06,167400,95436,108602,180833,134333,79032.4,3.33456e+08,5.36115e+08,8,104,27675,0,0,0,0
813.04,373.085,507325,30914,2564,1.28646e+06,1.32951e+06,153090,96390,109633,165375,122850,79798,3.36338e+08,4.92885e+08,8,104,28350,0,0,0,0
813.272,373.624,507350,31641,2616,1.29656e+06,1.32884e+06,140498,97229.5,110540,151773,112745,80471.6,3.39066e+08,4.51966e+08,8,104,29025,0,0,0,0
813.494,374.144,507375,32368,2668,1.30531e+06,1.32825e+06,129600,97956,111325,140000,104000,81054.7,3.41425e+08,4.16575e+08,8,104,29700,0,0,0,0
813.706,374.64,507399,33095,2720,1.31286e+06,1.32775e+06,120192,98583.2,112002,129837,96450,81558,3.43487e+08,3.85651e+08,8,104,30375,0,0,0,0
813.909,375.118,507422,33822,2772,1.31961e+06,1.3273e+06,111780,99144,112608,120750,89700,82008,3.45252e+08,3.59171e+08,8,104,31050,0,0,0,0
814.103,375.573,507443,34549,2824,1.3252e+06,1.32693e+06,104814,99608.4,113110,113225,84110,82380.7,3.46729e+08,3.37016e+08,8,104,31725,0,0,0,0
809.933,365.875,506977,35466,3066,1.32123e+06,1.32123e+06,99933.8,99933.8,113117,113117,82488.8,82488.8,3.46122e+08,3.46122e+08,8,127.75,32400,0,0,0,0
810.199,366.485,507007,36193,3118,1.07976e+06,1.34329e+06,410670,79218,91083,443625,329550,66018,2.76059e+08,1.39707e+09,8,104,33075,0,0,0,0
810.453,367.071,507035,36920,3170,1.08951e+06,1.34264e+06,398520,80028,91958,430500,319800,66668,2.83474e+08,1.28584e+09,8,104,33750,0,0,0,0
810.699,367.642,507063,37647,3222,1.12266e+06,1.34043e+06,357210,82782,94933,385875,286650,68878,2.91289e+08,1.16862e+09,8,104,34425,0,0,0,0
810.934,368.186,507089,38374,3274,1.16263e+06,1.33776e+06,307395,86103,98520.5,332062,246675,71543,3.03029e+08,9.92511e+08,8,104,35100,0,0,0,0
811.161,368.716,507115,39101,3326,1.19286e+06,1.33575e+06,269730,88614,101233,291375,216450,73558,3.10815e+08,8.75733e+08,8,104,35775,0,0,0,0
811.38,369.222,507139,39828,3378,1.22178e+06,1.33382e+06,233685,91017,103829,252438,187525,75486.3,3.19121e+08,7.5113e+08,8,104,36450,0,0,0,0
811.591,369.711,507163,40555,3430,1.24356e+06,1.33237e+06,206550,92826,105783,223125,165750,76938,3.24806e+08,6.65864e+08,8,104,37125,0,0,0,0
811.794,370.188,507185,41282,3482,1.26038e+06,1.33125e+06,185591,94223.2,107292,200484,148931,78059.2,3.29388e+08,5.97139e+08,8,104,37800,0,0,0,0
811.991,370.647,507207,42009,3534,1.27497e+06,1.33028e+06,167400,95436,108602,180833,134333,79032.4,3.33456e+08,5.36115e+08,8,104,38475,0,0,0,0
812.181,371.091,507228,42736,3586,1.28646e+06,1.32951e+06,153090,96390,109633,165375,122850,79798,3.36338e+08,4.92885e+08,8,104,39150,0,0,0,0
812.364,371.516,507249,43463,3638,1.29656e+06,1.32884e+06,140498,97229.5,110540,151773,112745,80471.6,3.39066e+08,4.51966e+08,8,104,39825,0,0,0,0
812.541,371.932,507269,44190,3690,1.30531e+06,1.32825e+06,129600,97956,111325,140000,104000,81054.7,3.41425e+08,4.16575e+08,8,104,40500,0,0,0,0
812.713,372.333,507288,44917,3742,1.31286e+06,1.32775e+06,120192,98583.2,112002,129837,96450,81558,3.43487e+08,3.85651e+08,8,104,41175,0,0,0,0
812.879,372.724,507307,45644,3794,1.31961e+06,1.3273e+06,111780,99144,112608,120750,89700,82008,3.45252e+08,3.59171e+08,8,104,41850,0,0,0,0
813.04,373.101,507325,46371,3846,1.3252e+06,1.32693e+06,104814,99608.4,113110,113225,84110,82380.7,3.46729e+08,3.37016e+08,8,104,42525,0,0,0,0
809.933,365.875,506977,47288,4088,1.32123e+06,1.32123e+06,99933.8,99933.8,113117,113117,82488.8,82488.8,3.46122e+08,3.46122e+08,8,127.75,43200,0,0,0,0
810.133,366.335,507000,48015,4140,1.07976e+06,1.34329e+06,410670,79218,91083,443625,329550,66018,2.76059e+08,1.39707e+09,8,104,43875,0,0,0,0
810.327,366.781,507021,48742,4192,1.08951e+06,1.34264e+06,398520,80028,91958,430500,319800,66668,2.83474e+08,1.28584e+09,8,104,44550,0,0,0,0
810.516,367.22,507042,49469,4244,1.12266e+06,1.34043e+06,357210,82782,94933,385875,286650,68878,2.91289e+08,1.16862e+09,8,104,45225,0,0,0,0
810.699,367.642,507063,50196,4296,1.16263e+06,1.33776e+06,307395,86103,98520.5,332062,246675,71543,3.03029e+08,9.92511e+08,8,104,45900,0,0,0,0
810.876,368.057,507083,50923,4348,1.19286e+06,1.33575e+06,269730,88614,101233,291375,216450,73558,3.10815e+08,8.75733e+08,8,104,46575,0,0,0,0
811.049,368.456,507102,51650,4400,1.22178e+06,1.33382e+06,233685,91017,103829,252438,187525,75486.3,3.19121e+08,7.5113e+08,8,104,47250,0,0,0,0
811.217,368.845,507121,52377,4452,1.24356e+06,1.33237e+06,206550,92826,105783,223125,165750,76938,3.24806e+08,6.65864e+08,8,104,47925,0,0,0,0
