Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,930.619,0.10951,603763,7,0,4,1395.93,639928,0.289,0,3900,11440,9720,324,350,10500,7800,260,1063046,38401110,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
1,930.667,0.43123,603763,7,0,0,0,0,0.196,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
2,930.667,0.258094,603763,7,0,2,2068.87,531433,0.159,0,7800,11180,4860,648,700,5250,3900,520,2560074,15945690,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
3,930.772,1.03246,603763,7,0,0,0,0,0.133,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
4,930.666,0.34774,603763,7,0,0,0,0,0.066,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
5,930.772,1.19387,603763,7,0,0,0,0,0.054,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
6,930.738,0.828426,603763,7,0,0,0,0,0.029,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
7,930.738,0.764402,603763,7,0,0,0,0,0.016,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
8,930.779,1.29963,603763,7,0,0,0,0,0.012,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
9,930.776,1.21666,603763,7,0,0,0,0,0.012,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
10,930.773,1.19979,603763,7,0,0,0,0,0.012,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
11,930.74,0.851092,603763,7,0,0,0,0,0.009,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
12,930.772,1.1747,603763,7,0,0,0,0,0.005,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
13,930.774,1.19245,603763,7,0,0,0,0,0.005,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
14,930.772,1.10984,603763,7,0,0,0,0,0.002,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
15,930.779,1.40839,603763,7,0,0,0,0,0.002,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
