Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,348.219,0.55808,610693,18,0,4,1479.93,735648,0.289,0,25350,31460,9720,2106,2275,10500,7800,1690,7440355,44144310,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
1,348.249,0.646269,610693,18,0,2,2033.83,552442,0.196,0,29250,31200,4860,2430,2625,5250,3900,1950,9278245,16575960,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
2,348.245,0.605215,610693,18,0,3,331.26,686323,0.159,0,27300,31330,7290,2268,2450,7875,5850,1820,8324071,30888570,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
3,348.283,0.783083,610693,18,0,2,2108.44,330848,0.133,0,29250,31200,4860,2430,2625,5250,3900,1950,9721432,9928155,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
4,348.24,0.665086,610693,18,0,1,351.652,347223,0.066,0,31200,31070,2430,2592,2800,2625,1950,2080,10035996,5209695,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
5,348.296,0.877091,610693,18,0,1,5819.58,347627,0.054,0,31200,31070,2430,2592,2800,2625,1950,2080,10035592,5215755,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
6,348.27,0.677299,610693,18,0,1,5077.53,749690,0.029,0,31200,31070,2430,2592,2800,2625,1950,2080,9633529,11246700,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
7,348.266,0.65529,610693,18,0,0,0,0,0.016,0,33150,30940,0,2754,2975,0,0,2210,10383309,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
8,348.314,0.925295,610693,18,0,1,2032.6,645805,0.012,0,31200,31070,2430,2592,2800,2625,1950,2080,9737414,9688425,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
9,348.309,0.863329,610693,18,0,0,0,0,0.012,0,33150,30940,0,2754,2975,0,0,2210,10383309,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
10,348.3,0.887806,610693,18,0,0,0,0,0.012,0,33150,30940,0,2754,2975,0,0,2210,10383309,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
11,348.275,0.690086,610693,18,0,1,3484.79,595017,0.009,0,31200,31070,2430,2592,2800,2625,1950,2080,9788202,8926605,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
12,348.292,0.854753,610693,18,0,1,3657.85,928274,0.005,0,31200,31070,2430,2592,2800,2625,1950,2080,9454945,13925460,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
13,348.305,0.804338,610693,18,0,0,0,0,0.005,0,33150,30940,0,2754,2975,0,0,2210,10383309,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
14,348.287,0.805254,610693,18,0,0,0,0,0.002,0,33150,30940,0,2754,2975,0,0,2210,10383309,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
15,348.318,1.01579,610693,18,0,0,0,0,0.002,0,33150,30940,0,2754,2975,0,0,2210,10383309,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
