Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,497.386,0.31714,733359,10,0,4,1119.12,669941,0.289,0,9750,16900,9720,810,875,10500,7800,650,3920917,40201875,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
1,497.425,0.443756,733359,10,0,2,776.602,970122,0.196,0,13650,16640,4860,1134,1225,5250,3900,910,4660617,29106375,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
2,497.422,0.491127,733359,10,0,1,3687.44,242691,0.159,0,15600,16510,2430,1296,1400,2625,1950,1040,6358261,3641715,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
3,497.49,0.918191,733359,10,0,1,590.665,991646,0.133,0,15600,16510,2430,1296,1400,2625,1950,1040,5609306,14876040,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
4,497.42,0.448909,733359,10,0,1,542.636,745885,0.066,0,15600,16510,2430,1296,1400,2625,1950,1040,5855067,11189625,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
5,497.497,1.15485,733359,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,6601042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
6,497.47,0.851772,733359,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,6601042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
7,497.468,0.839764,733359,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,6601042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
8,497.508,1.30891,733359,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6601042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
9,497.505,1.25264,733359,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6601042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
10,497.5,1.14156,733359,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6601042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
11,497.473,0.856827,733359,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,6601042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
12,497.495,1.16948,733359,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6601042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
13,497.502,1.13908,733359,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6601042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
14,497.493,1.01418,733359,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6601042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
15,497.51,1.36064,733359,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6601042,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
