Mean Block Receive Time_x,Mean Block Propagation Time_x,Mean Block Size_x,Total Blocks_x,Stale Blocks_x,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork_x,Blocks in Forks_x,Connections,Mined Blocks in Main Chain_x,Is Attacker,Iteration,Mean Block Receive Time_y,Mean Block Propagation Time_y,Mean Block Size_y,Total Blocks_y,Stale Blocks_y,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork_y,Blocks in Forks_y,Mined Blocks in Main Chain_y,Fork Height,Fork Length,Block Interval,Time Interval,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node,Label
586.589,0.427637,395836,11,0,3,1768.17,335292,0.289,0,13650,18590,7290,1134,1225,7875,5850,910,2953119,15092190,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
586.595,0.476405,395836,11,0,2,1266.95,695854,0.196,0,15600,18460,4860,1296,1400,5250,3900,1040,2567376,20878335,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
586.557,0.515735,395836,11,0,1,5865.57,355994,0.159,0,17550,18330,2430,1458,1575,2625,1950,1170,3603181,5341260,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
586.658,0.695709,395836,11,0,2,1061.44,346417,0.133,0,15600,18460,4860,1296,1400,5250,3900,1040,3266251,10395210,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
586.592,0.500814,395836,11,0,1,5713,316674,0.066,0,17550,18330,2430,1458,1575,2625,1950,1170,3642501,4751460,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
586.669,0.841061,395836,11,0,0,0,0,0.054,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
586.638,0.692629,395836,11,0,0,0,0,0.029,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
586.632,0.691152,395836,11,0,0,0,0,0.016,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
586.661,0.904384,395836,11,0,0,0,0,0.012,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
586.652,0.863935,395836,11,0,1,286.083,195278,0.012,0,17550,18330,2430,1458,1575,2625,1950,1170,3763897,2930520,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
586.664,0.823856,395836,11,0,0,0,0,0.012,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
586.635,0.691592,395836,11,0,0,0,0,0.009,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
586.673,0.85408,395836,11,0,0,0,0,0.005,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
586.655,0.812363,395836,11,0,0,0,0,0.005,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
586.666,0.771546,395836,11,0,0,0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
586.676,0.939199,395836,11,0,0,0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,15,0,0,0,586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0,0,0,0,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940,0
476.355,0.331923,565725,8,0,3,1111.5,533819,0.289,0,7800,13130,7290,648,700,7875,5850,520,2358981,24025890,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
476.413,0.458903,565725,8,0,1,1948.9,987664,0.196,0,11700,12870,2430,972,1050,2625,1950,780,2972953,14816310,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
476.408,0.471981,565725,8,0,1,1635.5,245427,0.159,0,11700,12870,2430,972,1050,2625,1950,780,3715190,3682755,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
476.492,0.847691,565725,8,0,1,1139.42,876738,0.133,0,11700,12870,2430,972,1050,2625,1950,780,3083879,13152420,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
476.402,0.434574,565725,8,0,1,2846.97,248792,0.066,0,11700,12870,2430,972,1050,2625,1950,780,3711825,3733230,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
476.51,1.04405,565725,8,0,0,0,0,0.054,0,13650,12740,0,1134,1225,0,0,910,3960707,0,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
476.469,0.819272,565725,8,0,0,0,0,0.029,0,13650,12740,0,1134,1225,0,0,910,3960707,0,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
476.463,0.800122,565725,8,0,0,0,0,0.016,0,13650,12740,0,1134,1225,0,0,910,3960707,0,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
476.534,1.14366,565725,8,0,0,0,0,0.012,0,13650,12740,0,1134,1225,0,0,910,3960707,0,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
476.528,1.10321,565725,8,0,0,0,0,0.012,0,13650,12740,0,1134,1225,0,0,910,3960707,0,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
476.515,1.01173,565725,8,0,0,0,0,0.012,0,13650,12740,0,1134,1225,0,0,910,3960707,0,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
476.476,0.828452,565725,8,0,0,0,0,0.009,0,13650,12740,0,1134,1225,0,0,910,3960707,0,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
476.504,1.04929,565725,8,0,0,0,0,0.005,0,13650,12740,0,1134,1225,0,0,910,3960707,0,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
476.521,1.02127,565725,8,0,0,0,0,0.005,0,13650,12740,0,1134,1225,0,0,910,3960707,0,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
476.498,0.928196,565725,8,0,0,0,0,0.002,0,13650,12740,0,1134,1225,0,0,910,3960707,0,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
476.54,1.20576,565725,8,0,0,0,0,0.002,0,13650,12740,0,1134,1225,0,0,910,3960707,0,0,0,15,0,0,1,476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0,0,0,0,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
582.944,0.61489,430499,11,0,2,2040.27,371407,0.289,0,15600,18460,4860,1296,1400,5250,3900,1040,3562901,11144910,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
582.94,0.623227,430499,11,0,2,2709.55,463320,0.196,0,15600,18460,4860,1296,1400,5250,3900,1040,3379076,13902285,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
582.948,0.710013,430499,11,0,0,0,0,0.159,0,19500,18200,0,1620,1750,0,0,1300,4305895,0,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
582.841,0.513769,430499,11,0,3,1942.8,578676,0.133,0,13650,18590,7290,1134,1225,7875,5850,910,2569598,26044455,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
582.936,0.631353,430499,11,0,1,5693.82,683966,0.066,0,17550,18330,2430,1458,1575,2625,1950,1170,3621839,10260840,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
582.879,0.708518,430499,11,0,1,3692.81,45225,0.054,0,17550,18330,2430,1458,1575,2625,1950,1170,4260580,679725,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
582.899,0.672109,430499,11,0,0,0,0,0.029,0,19500,18200,0,1620,1750,0,0,1300,4305895,0,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
582.895,0.664087,430499,11,0,0,0,0,0.016,0,19500,18200,0,1620,1750,0,0,1300,4305895,0,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
582.87,0.761349,430499,11,0,0,0,0,0.012,0,19500,18200,0,1620,1750,0,0,1300,4305895,0,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
582.866,0.687932,430499,11,0,1,2755.29,170324,0.012,0,17550,18330,2430,1458,1575,2625,1950,1170,4135481,2556210,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
582.854,0.643005,430499,11,0,0,0,0,0.012,0,19500,18200,0,1620,1750,0,0,1300,4305895,0,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
582.904,0.672975,430499,11,0,0,0,0,0.009,0,19500,18200,0,1620,1750,0,0,1300,4305895,0,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
582.874,0.708358,430499,11,0,0,0,0,0.005,0,19500,18200,0,1620,1750,0,0,1300,4305895,0,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
582.862,0.647875,430499,11,0,0,0,0,0.005,0,19500,18200,0,1620,1750,0,0,1300,4305895,0,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
582.858,0.606721,430499,11,0,0,0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,4305895,0,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
582.884,0.78156,430499,11,0,0,0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,4305895,0,0,0,15,0,0,2,582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0,0,0,0,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870,0
574.188,0.449401,579203,11,0,3,1799.53,722036,0.289,0,13650,18590,7290,1134,1225,7875,5850,910,3626549,32495655,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
574.16,0.443133,579203,11,0,4,1435.4,590171,0.196,0,11700,18720,9720,972,1050,10500,7800,780,3431883,35415645,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
574.189,0.600651,579203,11,0,0,0,0,0.159,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
574.251,0.70978,579203,11,0,3,1237.09,421745,0.133,0,13650,18590,7290,1134,1225,7875,5850,910,4527420,18982590,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
574.189,0.571329,579203,11,0,0,0,0,0.066,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
574.251,0.902982,579203,11,0,0,0,0,0.054,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
574.234,0.753453,579203,11,0,0,0,0,0.029,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
574.236,0.74515,579203,11,0,0,0,0,0.016,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
574.253,1.03112,579203,11,0,0,0,0,0.012,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
574.254,1.04133,579203,11,0,0,0,0,0.012,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
