Miner Avg Block Size,Hash Rate,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic/node,Mean Block Size_x,Miner Avg Block Gen Interval,Label
335292,0.289,0.691152,0.85408,0.904384,0.718881,746.894,395836,1768.17,0
695854,0.196,0.691152,0.85408,0.904384,0.718881,746.894,395836,1266.95,0
355994,0.159,0.691152,0.85408,0.904384,0.718881,746.894,395836,5865.57,0
346417,0.133,0.691152,0.85408,0.904384,0.718881,746.894,395836,1061.44,0
316674,0.066,0.691152,0.85408,0.904384,0.718881,746.894,395836,5713,0
0,0.054,0.691152,0.85408,0.904384,0.718881,746.894,395836,0,0
0,0.029,0.691152,0.85408,0.904384,0.718881,746.894,395836,0,0
0,0.016,0.691152,0.85408,0.904384,0.718881,746.894,395836,0,0
0,0.012,0.691152,0.85408,0.904384,0.718881,746.894,395836,0,0
195278,0.012,0.691152,0.85408,0.904384,0.718881,746.894,395836,286.083,0
0,0.012,0.691152,0.85408,0.904384,0.718881,746.894,395836,0,0
0,0.009,0.691152,0.85408,0.904384,0.718881,746.894,395836,0,0
0,0.005,0.691152,0.85408,0.904384,0.718881,746.894,395836,0,0
0,0.005,0.691152,0.85408,0.904384,0.718881,746.894,395836,0,0
0,0.002,0.691152,0.85408,0.904384,0.718881,746.894,395836,0,0
0,0.002,0.691152,0.85408,0.904384,0.718881,746.894,395836,0,0
533819,0.289,0.800122,1.04929,1.14366,0.843756,1065.44,565725,1111.5,0
987664,0.196,0.800122,1.04929,1.14366,0.843756,1065.44,565725,1948.9,0
245427,0.159,0.800122,1.04929,1.14366,0.843756,1065.44,565725,1635.5,0
876738,0.133,0.800122,1.04929,1.14366,0.843756,1065.44,565725,1139.42,0
248792,0.066,0.800122,1.04929,1.14366,0.843756,1065.44,565725,2846.97,0
0,0.054,0.800122,1.04929,1.14366,0.843756,1065.44,565725,0,0
0,0.029,0.800122,1.04929,1.14366,0.843756,1065.44,565725,0,0
0,0.016,0.800122,1.04929,1.14366,0.843756,1065.44,565725,0,0
0,0.012,0.800122,1.04929,1.14366,0.843756,1065.44,565725,0,0
0,0.012,0.800122,1.04929,1.14366,0.843756,1065.44,565725,0,0
0,0.012,0.800122,1.04929,1.14366,0.843756,1065.44,565725,0,0
0,0.009,0.800122,1.04929,1.14366,0.843756,1065.44,565725,0,0
0,0.005,0.800122,1.04929,1.14366,0.843756,1065.44,565725,0,0
0,0.005,0.800122,1.04929,1.14366,0.843756,1065.44,565725,0,0
0,0.002,0.800122,1.04929,1.14366,0.843756,1065.44,565725,0,0
0,0.002,0.800122,1.04929,1.14366,0.843756,1065.44,565725,0,0
371407,0.289,0.631353,0.708518,0.761349,0.665484,811.887,430499,2040.27,0
463320,0.196,0.631353,0.708518,0.761349,0.665484,811.887,430499,2709.55,0
0,0.159,0.631353,0.708518,0.761349,0.665484,811.887,430499,0,0
578676,0.133,0.631353,0.708518,0.761349,0.665484,811.887,430499,1942.8,0
683966,0.066,0.631353,0.708518,0.761349,0.665484,811.887,430499,5693.82,0
45225,0.054,0.631353,0.708518,0.761349,0.665484,811.887,430499,3692.81,0
0,0.029,0.631353,0.708518,0.761349,0.665484,811.887,430499,0,0
0,0.016,0.631353,0.708518,0.761349,0.665484,811.887,430499,0,0
0,0.012,0.631353,0.708518,0.761349,0.665484,811.887,430499,0,0
170324,0.012,0.631353,0.708518,0.761349,0.665484,811.887,430499,2755.29,0
0,0.012,0.631353,0.708518,0.761349,0.665484,811.887,430499,0,0
0,0.009,0.631353,0.708518,0.761349,0.665484,811.887,430499,0,0
0,0.005,0.631353,0.708518,0.761349,0.665484,811.887,430499,0,0
0,0.005,0.631353,0.708518,0.761349,0.665484,811.887,430499,0,0
0,0.002,0.631353,0.708518,0.761349,0.665484,811.887,430499,0,0
0,0.002,0.631353,0.708518,0.761349,0.665484,811.887,430499,0,0
722036,0.289,0.70978,0.931393,1.04133,0.790499,1090.71,579203,1799.53,0
590171,0.196,0.70978,0.931393,1.04133,0.790499,1090.71,579203,1435.4,0
0,0.159,0.70978,0.931393,1.04133,0.790499,1090.71,579203,0,0
421745,0.133,0.70978,0.931393,1.04133,0.790499,1090.71,579203,1237.09,0
0,0.066,0.70978,0.931393,1.04133,0.790499,1090.71,579203,0,0
0,0.054,0.70978,0.931393,1.04133,0.790499,1090.71,579203,0,0
0,0.029,0.70978,0.931393,1.04133,0.790499,1090.71,579203,0,0
0,0.016,0.70978,0.931393,1.04133,0.790499,1090.71,579203,0,0
0,0.012,0.70978,0.931393,1.04133,0.790499,1090.71,579203,0,0
0,0.012,0.70978,0.931393,1.04133,0.790499,1090.71,579203,0,0
0,0.012,0.70978,0.931393,1.04133,0.790499,1090.71,579203,0,0
0,0.009,0.70978,0.931393,1.04133,0.790499,1090.71,579203,0,0
0,0.005,0.70978,0.931393,1.04133,0.790499,1090.71,579203,0,0
