Mean Block Receive Time_x,Mean Block Size_y,Total average traffic/node,Label
504.936,457856,863.18,0
818.109,511759,949.606,1
586.015,436013,822.224,0
476.534,565725,1065.44,0
459.891,500534,943.202,0
479.385,525864,990.696,0
521.422,409274,772.09,0
623.993,567459,1068.69,0
457.916,569380,1072.29,0
580.691,591857,1114.43,0
789.834,520249,966.249,1
348.27,610693,1149.75,0
796.873,532384,989.667,1
457.959,569380,1072.29,0
927.996,622630,1172.13,0
521.509,409274,772.09,0
817.204,532586,989.706,1
596.004,455996,859.692,0
818.11,511759,949.606,1
527.786,635086,1195.49,0
743.625,506861,943.505,1
527.779,635086,1195.49,0
796.873,532384,989.667,1
743.624,506861,943.505,1
819.567,537262,997.652,1
585.979,436013,822.224,0
806.999,522566,968.333,1
757.898,494480,918.404,1
991.715,628726,1183.56,0
789.834,520249,966.249,1
494.377,358722,677.304,0
820.616,522660,969.755,1
870.379,512707,948.277,1
776.793,523058,968.953,1
609.6,441681,832.852,0
722.649,662333,1246.57,0
582.684,580322,1092.81,0
773.709,515358,958.496,1
810.435,508738,943.456,1
790.48,503872,935.035,1
817.204,532586,989.706,1
542.956,457373,862.276,0
594.703,494480,918.404,1
432.233,445143,839.343,0
441.359,618543,1164.47,0
830.521,505442,937.788,1
429.03,485281,914.602,0
598.349,531169,989.392,1
742.041,507091,955.497,0
818.497,519520,965.201,1
789.682,527578,982.054,1
743.345,543394,1011.16,1
833.265,529899,984.258,1
781.226,522506,971.288,1
864.307,522868,970.88,1
799.309,537893,1001.38,1
848.38,535320,993.679,1
615.598,516198,972.571,0
816.817,523363,974.214,1
449.2,668752,1258.61,0
540.046,430959,812.749,0
757.899,494480,918.404,1
609.623,441681,832.852,0
763.323,523515,973.376,1
515.106,551064,1037.94,0
410.789,589718,1110.42,0
615.499,516198,972.571,0
811.68,536198,994.148,1
848.38,535320,993.679,1
810.435,508738,943.456,1
495.519,464850,876.294,0
799.309,537893,1001.38,1
452.978,565624,1065.25,0
370.097,610082,1148.6,0
