Total average traffic/node,Label
863.18,0
949.606,1
822.224,0
1065.44,0
943.202,0
990.696,0
772.09,0
1068.69,0
1072.29,0
1114.43,0
966.249,1
1149.75,0
989.667,1
1072.29,0
1172.13,0
772.09,0
989.706,1
859.692,0
949.606,1
1195.49,0
943.505,1
1195.49,0
989.667,1
943.505,1
997.652,1
822.224,0
968.333,1
918.404,1
1183.56,0
966.249,1
677.304,0
969.755,1
948.277,1
968.953,1
832.852,0
1246.57,0
1092.81,0
958.496,1
943.456,1
935.035,1
989.706,1
862.276,0
918.404,1
839.343,0
1164.47,0
937.788,1
914.602,0
989.392,1
955.497,0
965.201,1
982.054,1
1011.16,1
984.258,1
971.288,1
970.88,1
1001.38,1
993.679,1
972.571,0
974.214,1
1258.61,0
812.749,0
918.404,1
832.852,0
973.376,1
1037.94,0
1110.42,0
972.571,0
994.148,1
993.679,1
943.456,1
876.294,0
1001.38,1
1065.25,0
1148.6,0
812.747,0
938.876,1
941.402,1
989.21,1
1126.85,0
1083.72,0
1390.27,0
851.205,0
990.133,1
1130.02,0
780.962,0
966.596,0
973.376,1
691.321,0
990.696,0
1216.27,0
897.906,1
960.024,0
812.749,0
680.406,0
1226.12,0
1216.27,0
1022.91,1
987.871,1
621.95,0
941.402,1
1148.6,0
975.891,1
1343.94,0
968.594,1
876.294,0
948.277,1
968.594,1
1051.38,0
1016.43,1
812.747,0
984.258,1
1149.75,0
957.06,1
1083.72,0
993.499,1
982.951,1
946.659,1
1377.25,0
1126.21,0
1017.86,1
926.811,1
956.665,1
1182.69,0
989.667,1
972.545,1
971.445,1
1390.27,0
1081.97,0
1213.06,0
832.852,0
962.853,1
839.343,0
621.95,0
1100.56,0
914.602,0
832.852,0
1103.4,0
937.788,1
811.887,0
938.41,1
847.811,0
1007.24,1
991.295,1
882.987,0
946.802,1
968.594,1
962.396,1
919.284,1
1164.47,0
1216.27,0
962.396,1
946.659,1
958.496,1
1001.38,1
944.674,1
1258.61,0
943.456,1
812.749,0
895.697,0
1126.85,0
988.902,1
1164.47,0
981.3,1
982.054,1
1136.76,0
768.558,0
926.811,1
863.18,0
972.571,0
968.953,1
937.788,1
1195.49,0
1140.95,0
1103.4,0
746.894,0
1011.16,1
966.596,0
944.735,1
972.545,1
994.148,1
856.106,0
943.456,1
1239.21,0
621.95,0
994.148,1
1182.69,0
1037.94,0
1183.56,0
1172.13,0
1300.03,0
997.652,1
973.376,1
973.376,1
993.499,1
874.251,0
