Mean Block Size_y,Label
457856,0
511759,1
436013,0
565725,0
500534,0
525864,0
409274,0
567459,0
569380,0
591857,0
520249,1
610693,0
532384,1
569380,0
622630,0
409274,0
532586,1
455996,0
511759,1
635086,0
506861,1
635086,0
532384,1
506861,1
537262,1
436013,0
522566,1
494480,1
628726,0
520249,1
358722,0
522660,1
512707,1
523058,1
441681,0
662333,0
580322,0
515358,1
508738,1
503872,1
532586,1
457373,0
494480,1
445143,0
618543,0
505442,1
485281,0
531169,1
507091,0
519520,1
527578,1
543394,1
529899,1
522506,1
522868,1
537893,1
535320,1
516198,0
523363,1
668752,0
430959,0
494480,1
441681,0
523515,1
551064,0
589718,0
516198,0
536198,1
535320,1
508738,1
464850,0
537893,1
565624,0
610082,0
430958,0
505029,1
506590,1
532354,1
598481,0
575478,0
738969,0
413433,0
534217,1
600173,0
414006,0
513011,0
523515,1
366198,0
525864,0
646172,0
484144,1
509506,0
430959,0
360376,0
651425,0
646172,0
550899,1
531795,1
329200,0
506590,1
610082,0
525438,1
714262,0
520927,1
464850,0
512707,1
520927,1
558228,0
546791,1
430958,0
529899,1
610693,0
514111,1
575478,0
534915,1
527666,1
510810,1
732029,0
598137,0
549057,1
500123,1
515166,1
628259,0
532384,1
525413,1
523308,1
738969,0
574545,0
644458,0
441681,0
518725,1
445143,0
329200,0
584460,0
485281,0
441681,0
585971,0
505442,1
430499,0
506251,1
449659,0
541816,1
533647,1
468419,0
508703,1
520927,1
519049,1
495498,1
618543,0
646172,0
519049,1
510810,1
515358,1
537893,1
508556,1
668752,0
508738,1
430959,0
475198,0
598481,0
531427,1
618543,0
526855,1
527578,1
603763,0
407391,0
500123,1
457856,0
516198,0
523058,1
505442,1
635086,0
606000,0
585971,0
395836,0
543394,1
513011,0
507843,1
525413,1
536198,1
454083,0
508738,1
658403,0
329200,0
536198,1
628259,0
551064,0
628726,0
622630,0
690843,0
537262,1
523515,1
523515,1
534915,1
463760,0
738969,0
413433,0
536198,1
589718,0
508556,1
464850,0
508738,1
512707,1
482218,0
509506,0
527758,1
554224,0
358722,0
589718,0
503872,1
527578,1
528119,1
508738,1
503872,1
544183,1
515166,1
506590,1
414006,0
536198,1
548020,1
475198,0
517161,1
414190,0
567459,0
579203,0
519520,1
543642,1
605493,0
537893,1
494480,1
598137,0
520566,1
463760,0
500534,0
329200,0
519715,0
535202,1
625827,0
532384,1
635086,0
494480,1
543394,1
525438,1
514111,1
430959,0
525438,1
477269,0
584460,0
651425,0
628726,0
534217,1
529899,1
506590,1
495276,0
503872,1
454083,0
658403,0
506861,1
517161,1
529385,1
518725,1
579203,0
524168,1
329200,0
477269,0
414190,0
598481,0
507091,0
643812,0
509506,0
519715,0
454083,0
534915,1
449659,0
495943,1
673913,0
585971,0
512707,1
536198,1
477269,0
389327,0
508738,1
610693,0
522506,1
518725,1
527578,1
528404,1
436013,0
625827,0
464850,0
543394,1
528404,1
389539,0
503872,1
591857,0
536837,0
545006,1
414190,0
471388,0
532586,1
536471,1
520927,1
354691,0
610693,0
519520,1
527666,1
544183,1
500123,1
535320,1
546791,1
525864,0
525438,1
714262,0
550899,1
528085,1
430959,0
482218,0
646172,0
532354,1
535380,1
520566,1
506861,1
392321,0
651425,0
520566,1
532354,1
494480,1
554224,0
644458,0
591857,0
546791,1
532354,1
495276,0
760126,0
537893,1
518725,1
508703,1
579203,0
658403,0
534915,1
584460,0
531427,1
551064,0
354691,0
520927,1
591857,0
525864,0
662333,0
543394,1
516198,0
551064,0
519049,1
523058,1
542916,1
503872,1
525438,1
468419,0
522660,1
732029,0
414190,0
522660,1
598137,0
548020,1
548020,1
528404,1
531795,1
494480,1
500534,0
537893,1
690843,0
536837,0
409274,0
538811,1
537893,1
518725,1
533647,1
407391,0
521886,1
673913,0
503872,1
421923,0
625827,0
430499,0
551064,0
457373,0
505442,1
445143,0
527578,1
506861,1
535320,1
523515,1
789442,0
533647,1
567459,0
516325,1
511759,1
532384,1
521886,1
514001,1
507843,1
603763,0
526586,1
531795,1
533647,1
510810,1
537918,0
525438,1
567459,0
534915,1
385235,0
430499,0
527758,1
508556,1
528119,1
551064,0
436013,0
535380,1
690843,0
494480,1
468419,0
622630,0
536198,1
690843,0
526586,1
467254,0
536198,1
511759,1
513011,0
508738,1
354691,0
522566,1
507843,1
482218,0
464850,0
430499,0
690843,0
385235,0
549057,1
395836,0
594149,0
360644,0
543394,1
494480,1
535202,1
495276,0
528119,1
591857,0
531248,1
485281,0
508738,1
520927,1
526586,1
500534,0
651425,0
508703,1
544183,1
522566,1
457856,0
503872,1
522566,1
528404,1
494480,1
536198,1
526586,1
509506,0
651425,0
389327,0
549057,1
511759,1
