Miner Avg Block Size,Hash Rate,Iteration,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic/node,Mean Block Size_x,Miner Avg Block Gen Interval,Label
544156.0,0.005,72,287.286,287.602,287.655,269.489,989.706,534007,72834.3,1
746870.0,0.159,4,0.66929,0.897063,0.935389,0.757009,990.696,525864,810.692,0
565698.0,0.054,27,343.731,344.109,344.159,322.443,991.295,535282,10724.2,1
537323.0,0.185,88,351.863,352.245,352.284,330.08,989.667,533813,3488.74,1
689232.0,0.009,2,625.239,625.729,625.853,586.427,1011.16,544223,67499.8,1
441389.0,0.289,77,0.66221,0.85636,0.914912,0.722909,680.909,360644,768.68,0
643005.0,0.289,89,0.689497,0.991239,1.07558,0.782841,882.987,468419,945.219,0
554907.0,0.133,88,0.661018,0.818773,0.848512,0.721232,933.342,495276,1604.85,0
0.0,0.012,63,0.765763,0.862735,0.988143,0.812636,1362.64,724237,0.0,0
371833.0,0.016,41,323.472,323.81,323.826,303.43,956.665,516865,36564.5,1
0.0,0.029,39,0.789948,1.14678,1.25555,0.88325,1195.49,635086,0.0,0
563333.0,0.159,23,294.5,294.804,294.821,276.272,982.101,530842,3858.79,1
715468.0,0.009,75,253.117,253.418,253.498,237.472,994.27,538681,107926.0,1
932333.0,0.029,52,0.737186,0.829942,0.843226,0.764621,1258.61,668752,3450.19,0
0.0,0.012,38,0.712593,0.79259,0.897001,0.743848,1100.56,584460,0.0,0
4.67956e-310,0.002,48,348.843,349.115,349.154,327.194,960.232,518561,0.0,1
831802.0,0.012,5,0.776426,1.02503,1.04553,0.830488,1126.85,598481,3653.76,0
520512.0,0.185,63,643.659,644.054,644.128,603.652,974.214,524237,3733.81,1
519613.0,0.133,62,212.294,212.551,212.617,199.183,993.499,537113,4770.36,1
0.0,0.012,51,0.756426,1.08716,1.18883,0.856325,1182.69,628259,0.0,0
590171.0,0.196,3,0.70978,0.931393,1.04133,0.790499,1090.71,579203,1435.4,0
0.0,0.005,93,0.789483,1.03517,1.15893,0.857874,1172.13,622630,0.0,0
476483.0,0.005,93,356.473,356.804,356.855,334.358,1016.43,548039,113787.0,1
0.0,0.133,64,0.749669,1.03024,1.17849,0.835917,1140.0,605493,0.0,0
493998.0,0.054,43,219.743,220.042,220.087,206.167,968.953,523681,13002.4,1
601143.0,0.029,23,294.5,294.804,294.821,276.272,982.101,530842,15763.8,1
