Mean Block Receive Time_x,Mean Block Propagation Time_x,Mean Block Size_x,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Iteration,Mean Block Receive Time_y,Mean Block Propagation Time_y,Mean Block Size_y,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node,Label
504.936,1.00192,457856,0,0.0,0.0,0.054,21450,20020,0,1782,1925,0,0,1430,5037403,0,30,504.957,0.787354,457856,20109.4,1670.62,1804.69,1340.62,4722570,0.692586,0.994509,1.03875,0.787354,40218.8,3341.25,3609.38,2681.25,9445130,863.18,9494980,0
818.109,310.26,512980,17,34930.5,489200.0,0.016,1389550,1334450,41310,107730,120425,44625,33150,88250,367244988,124769070,39,803.726,285.911,511759,1333780.0,103579.0,115688.0,84806.2,352090000,310.26,310.521,310.627,291.022,2667560.0,207158.0,231375.0,169612.0,704180000,949.606,707456000,1
586.015,0.769523,436013,0,0.0,0.0,0.016,19500,18200,0,1620,1750,0,0,1300,4361026,0,82,586.037,0.809163,436013,18281.3,1518.75,1640.62,1218.75,4088460,0.769523,1.03616,1.06439,0.809163,36562.5,3037.5,3281.25,2437.5,8176920,822.224,8222240,0
476.534,1.14366,565725,0,0.0,0.0,0.012,13650,12740,0,1134,1225,0,0,910,3960707,0,1,476.477,0.843756,565725,12796.9,1063.12,1148.44,853.125,3713160,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050,0
459.891,1.00922,500534,0,0.0,0.0,0.005,25350,23660,0,2106,2275,0,0,1690,6508115,0,97,459.867,0.811842,500534,23765.6,1974.38,2132.81,1584.38,6101360,0.733519,1.02415,1.10823,0.811842,47531.2,3948.75,4265.62,3168.75,12202700,943.202,12261600,0
479.385,0.634803,525864,0,0.0,0.0,0.066,21450,20020,0,1782,1925,0,0,1430,5785497,0,4,479.342,0.757009,525864,20109.4,1670.63,1804.69,1340.62,5423900,0.66929,0.897063,0.935389,0.757009,40218.8,3341.25,3609.37,2681.25,10847800,990.696,10897700,0
521.422,0.512549,409274,1,1407.57,247422.0,0.066,13650,14690,2430,1134,1225,2625,1950,910,3027401,3712680,76,521.477,0.752537,409274,14625.0,1215.0,1312.5,975.0,3070230,0.661773,0.921069,0.967572,0.752537,29250.0,2430.0,2625.0,1950.0,6140460,772.09,6176720,0
623.993,0.686319,567459,0,0.0,0.0,0.009,11700,10920,0,972,1050,0,0,780,3405294,0,14,623.997,0.785594,567459,10968.8,911.25,984.375,731.25,3192460,0.686319,0.95523,1.04635,0.785594,21937.5,1822.5,1968.75,1462.5,6384930,1068.69,6412120,0
457.916,0.49117,569380,4,1467.84,582858.0,0.196,17550,24180,9720,1458,1575,10500,7800,1170,5071320,34976850,27,457.951,0.823743,569380,23765.6,1974.38,2132.81,1584.38,6940420,0.738814,0.998428,1.04671,0.823743,47531.2,3948.75,4265.62,3168.75,13880800,1072.29,13939700,0
580.691,0.949004,591857,0,0.0,0.0,0.054,17550,16380,0,1458,1575,0,0,1170,5327520,0,70,580.66,0.787627,591857,16453.1,1366.87,1476.56,1096.88,4994550,0.707423,0.921784,0.949004,0.787627,32906.2,2733.75,2953.12,2193.75,9989100,1114.43,10029900,0
789.834,492.161,521747,1,18599.1,924546.0,0.002,1464260,1376050,2430,108540,124135,2625,1950,90160,393576680,13869540,69,776.488,453.375,520249,1374570.0,101908.0,116541.0,84646.9,369845000,491.679,492.119,492.161,461.153,2749140.0,203816.0,233081.0,169294.0,739690000,966.249,743045000,1
348.27,0.677299,610693,1,5077.53,749690.0,0.029,31200,31070,2430,2592,2800,2625,1950,2080,9633529,11246700,10,348.279,0.769629,610693,31078.1,2581.88,2789.06,2071.88,9734350,0.665086,0.877091,0.925295,0.769629,62156.2,5163.75,5578.13,4143.75,19468700,1149.75,19545700,0
796.873,352.221,533813,1,573247.0,998570.0,0.002,1453594,1365130,2430,109350,124119,2625,1950,90414,399422173,14979900,88,783.946,324.658,532384,1364570.0,102668.0,116526.0,84885.0,375395000,351.863,352.245,352.284,330.08,2729140.0,205335.0,233051.0,169770.0,750789000,989.667,754126000,1
457.959,0.883739,569380,0,0.0,0.0,0.133,25350,23660,0,2106,2275,0,0,1690,7403110,0,27,457.951,0.823743,569380,23765.6,1974.38,2132.81,1584.38,6940420,0.738814,0.998428,1.04671,0.823743,47531.2,3948.75,4265.62,3168.75,13880800,1072.29,13939700,0
927.996,0.998404,622630,0,0.0,0.0,0.005,11700,10920,0,972,1050,0,0,780,3736322,0,93,927.973,0.857874,622630,10968.8,911.25,984.375,731.25,3502800,0.789483,1.03517,1.15893,0.857874,21937.5,1822.5,1968.75,1462.5,7005600,1172.13,7032800,0
521.509,0.939206,409274,0,0.0,0.0,0.012,15600,14560,0,1296,1400,0,0,1040,3274913,0,76,521.477,0.752537,409274,14625.0,1215.0,1312.5,975.0,3070230,0.661773,0.921069,0.967572,0.752537,29250.0,2430.0,2625.0,1950.0,6140460,772.09,6176720,0
817.204,287.655,534007,2,253517.0,393892.0,0.002,1422136,1336140,4860,109512,122836,5250,3900,89896,391233967,11819460,72,803.569,265.013,532586,1336910.0,102971.0,115487.0,84521.3,367521000,287.286,287.602,287.655,269.489,2673820.0,205942.0,230974.0,169042.0,735041000,989.706,738321000,1
596.004,0.787044,455996,0,0.0,0.0,0.012,19500,18200,0,1620,1750,0,0,1300,4560855,0,42,596.031,0.711326,455996,18281.3,1518.75,1640.62,1218.75,4275800,0.636667,0.799201,0.827051,0.711326,36562.5,3037.5,3281.25,2437.5,8551600,859.692,8596920,0
818.11,310.09,512980,144,4098.97,483643.0,0.159,1141900,1350960,349920,87156,98200,378000,280800,71740,305905395,1044862965,39,803.726,285.911,511759,1333780.0,103579.0,115688.0,84806.2,352090000,310.26,310.521,310.627,291.022,2667560.0,207158.0,231375.0,169612.0,704180000,949.606,707456000,1
