Is Attacker,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Connections,Mined Blocks in Main Chain,Mean Block Receive Time.1,Mean Block Propagation Time.1,Mean Block Size.1,Total Blocks.1,Stale Blocks.1,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork.1,Blocks in Forks.1,Mined Blocks in Main Chain.1,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
1,623.111,0.494162,500827,963,264,286,2095.58,442778,0.3,10,1318200,1283300,24300,109512,118300,101580,52980,87880,355094621,492765045,9,528,15,72,785.009,321.462,517161,762.0,63,1361970.0,104186.0,117255.0,85698.8,363699000,7.125,126.75,699,348.843,349.115,349.154,327.194,2723950.0,208372.0,234510.0,171398.0,727398000,960.232,730736000
0,928.068,1.2134,622630,7,0,0,0.0,0,0.002,0,11700,10920,0,972,1050,0,0,780,3736322,0,0,0,15,0,927.973,0.857874,622630,7.0,0,10968.8,911.25,984.375,731.25,3502800,0.0,0.0,7,0.789483,1.03517,1.15893,0.857874,21937.5,1822.5,1968.75,1462.5,7005600,1172.13,7032800
0,664.752,0.937498,513011,10,0,0,0.0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,4617908,0,0,0,15,0,664.748,0.715855,513011,10.0,0,16453.1,1366.88,1476.56,1096.88,4329290,0.0,0.0,10,0.628019,0.811891,0.859728,0.715855,32906.2,2733.75,2953.12,2193.75,8658580,966.596,8699360
0,538.158,1.12297,574545,12,0,0,0.0,0,0.002,0,21450,20020,0,1782,1925,0,0,1430,6320980,0,0,0,15,0,538.132,0.800546,574545,12.0,0,20109.4,1670.62,1804.69,1340.62,5925920,0.0,0.0,12,0.686726,0.989598,1.09981,0.800546,40218.8,3341.25,3609.37,2681.25,11851800,1081.97,11901700
0,580.148,1.30296,594149,11,0,0,0.0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,5942387,0,0,0,15,0,580.093,0.902681,594149,11.0,0,18281.3,1518.75,1640.62,1218.75,5570990,0.0,0.0,11,0.805766,1.22612,1.30296,0.902681,36562.5,3037.5,3281.25,2437.5,11142000,1118.73,11187300
1,629.651,0.446391,475496,953,277,304,1972.9,432540,0.3,12,1263600,1243800,29160,104976,113400,123840,64440,84240,321382406,533338905,8,554,15,88,799.234,481.607,484144,750.0,76,1338800.0,100237.0,114052.0,83002.5,334630000,8.0,152.75,674,522.929,523.24,523.312,490.42,2677600.0,200475.0,228105.0,166005.0,669259000,897.906,672532000
0,517.05,0.877225,590575,12,0,0,0.0,0,0.002,0,21450,20020,0,1782,1925,0,0,1430,6497319,0,0,0,15,0,517.052,0.759304,590575,12.0,0,20109.4,1670.63,1804.69,1340.62,6091240,0.0,0.0,12,0.712741,0.805857,0.877225,0.759304,40218.8,3341.25,3609.37,2681.25,12182500,1112.03,12232300
1,606.59,0.489342,492266,987,245,269,2227.49,411962,0.3,8,1398150,1346460,19440,116154,125475,79320,41520,93210,374661301,379396350,8,489,15,56,760.615,227.597,515358,787.0,46,1408910.0,110109.0,122590.0,89979.4,374957000,6.125,92.4375,741,246.783,247.037,247.12,231.504,2817820.0,220219.0,245181.0,179959.0,749914000,958.496,753378000
1,668.234,0.459484,522415,898,238,271,2209.92,454015,0.3,13,1220700,1207870,31590,101412,109550,131325,68550,81380,345406299,541439925,10,476,15,93,820.596,445.289,529899,731.0,71,1307370.0,97048.1,110911.0,80578.1,357658000,8.125,142.25,660,482.108,482.423,482.487,452.162,2614740.0,194096.0,221822.0,161156.0,715317000,984.258,718509000
0,504.938,1.13042,457856,12,0,0,0.0,0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5037403,0,0,0,15,0,504.957,0.787354,457856,12.0,0,20109.4,1670.62,1804.69,1340.62,4722570,0.0,0.0,12,0.692586,0.994509,1.03875,0.787354,40218.8,3341.25,3609.38,2681.25,9445130,863.18,9494980
