Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Connections,Mined Blocks in Main Chain,Is Attacker,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
639.869,0.483945,519034,939,257,285,2103.67,457107,0.3,13,1273350,1258630,31590,105786,114275,134970,70170,84890,356371634,716238675,8,514,15,96,1,787.027,454.775,537893,761,79,1361950,101149.0,115568,83970.0,378863000,8.0,159.625,682,492.51,492.899,492.977,461.931,2723900,202298,231137,167940,757727000,1001.38,761052000
611.784,0.471345,510208,981,276,309,1941.65,442093,0.3,15,1308450,1304470,36450,108702,117425,160875,83250,87230,363465627,734218275,10,552,15,115,1,751.696,565.192,523515,799,94,1428090,104186.0,120141,86981.3,386638000,10.0,188.25,705,611.904,612.378,612.423,573.893,2856190,208372,240281,173963,773275000,973.376,776754000
604.124,0.48504,533275,991,283,317,1884.06,483422,0.3,18,1312350,1321520,43740,109026,117775,185760,96660,87490,374908139,948807435,12,566,15,132,1,732.797,578.14,543394,817,109,1461590,104946.0,122024,88063.1,410777000,9.1875,219.125,708,625.239,625.729,625.853,586.427,2923190,209891,244048,176126,821554000,1011.16,825107000
598.349,0.485329,516442,1004,271,305,1930.95,439815,0.3,16,1361100,1354480,38880,113076,122150,161070,84120,90740,383545196,732195105,7,542,15,114,1,728.113,418.251,531169,824,91,1475800,108439.0,124583,90326.3,405336000,7.0,183.875,733,452.465,452.835,452.894,424.385,2951600,216878,249165,180652,810672000,989.392,814270000
627.463,0.459959,514608,956,272,304,1973.35,467006,0.3,13,1269450,1256610,31590,105462,113925,138615,71790,84630,349754368,676099650,10,544,15,99,1,786.253,424.758,525438,763,80,1363510,100845.0,115468,83827.5,370151000,10.0,161.5,683,460.552,461.019,461.047,431.996,2727030,201690,230936,167655,740302000,975.891,743629000
594.703,0.450486,483264,1007,292,324,1840.41,440300,0.3,15,1329900,1320710,36450,110484,119350,152370,79470,88660,343722909,715962675,9,584,15,108,1,745.131,413.137,494480,804,89,1436020,105857.0,121414,88085.6,366988000,8.0625,179.0,715,447.982,448.344,448.424,420.18,2872050,211714,242828,176171,733976000,918.404,737479000
638.874,0.474124,495880,939,257,286,2094.79,456694,0.3,11,1271400,1244810,26730,105624,114100,111495,58170,84760,334924368,565226265,9,513,15,79,1,806.074,338.138,508556,744,63,1330370,100693.0,113937,83098.1,349318000,8.0625,127.688,681,366.84,367.196,367.214,344.106,2660730,201386,227874,166196,698636000,944.674,701893000
623.717,0.509072,525916,961,279,293,2030.47,488583,0.3,9,1300650,1264970,21870,108054,116725,98955,51030,86710,362057181,515637555,9,558,15,71,1,796.685,456.956,536198,752,70,1343690,102668.0,115614,84480.0,371656000,9.0,141.75,682,496.351,496.698,496.744,465.526,2687380,205335,231229,168960,743312000,994.148,746605000
618.706,0.488824,492679,964,270,288,2069.51,444179,0.3,11,1316250,1286670,26730,109350,118125,111495,58170,87750,346449828,513743685,8,540,15,79,1,777.005,357.117,503872,768,74,1372410,104186.0,117711,85901.2,356906000,8.0,148.125,694,387.318,387.57,387.724,363.287,2744830,208373,235421,171802,713811000,935.035,717172000
633.316,0.486393,516394,948,260,274,2188.56,435931,0.3,8,1312350,1268000,19440,109026,117775,82965,43140,87490,369999049,369820320,11,520,15,59,1,804.783,238.687,537262,746,58,1333690,103427.0,115599,84718.1,369988000,7.25,116.875,688,259.097,259.361,259.451,243.053,2667390,206854,231199,169436,739976000,997.652,743251000
