Mean Block Receive Time,Mean Block Size,The average INV,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node,Is Attacker
815.92,505442,1316210,114752,84292.5,342550000,229504,168585,685099000,937.788,688336000,1
428.134,598481,25593.8,2296.88,1706.25,7856240,4593.75,3412.5,15712500,1126.85,15775900,0
830.537,549057,1289550,111397,81528.8,365866000,222795,163058,731732000,1017.86,734895000,1
415.77,467254,25593.8,2296.88,1706.25,6133890,4593.75,3412.5,12267800,880.802,12331200,0
833.031,535320,1288250,111762,81935.6,356142000,223524,163871,712285000,993.679,715449000,1
494.366,358722,20109.4,1804.69,1340.62,3700250,3609.38,2681.25,7400500,677.304,7450350,0
370.097,610082,27421.9,2460.94,1828.12,8580550,4921.88,3656.25,17161100,1148.6,17229100,0
804.362,519520,1334200,114442,83518.1,357904000,228883,167036,715808000,965.201,719075000,1
693.898,366198,14625,1312.5,975,2747160,2625,1950,5494310,691.321,5530570,0
797.349,535380,1344090,112682,81463.1,372544000,225364,162926,745088000,995.159,748359000,1
781.261,542916,1373270,116905,85053.8,385224000,233811,170108,770447000,1008.87,773803000,1
747.226,772806,14625,1312.5,975,5796720,2625,1950,11593400,1453.71,11629700,0
756.746,520566,1415940,121296,88473.8,379878000,242591,176948,759755000,964.881,763221000,1
785.319,520927,1366140,116425,84742.5,367849000,232851,169485,735698000,968.594,739037000,1
660.432,724237,12796.9,1148.44,853.125,4753390,2296.88,1706.25,9506790,1362.64,9538510,0
559.698,522543,18281.3,1640.62,1218.75,4899680,3281.25,2437.5,9799360,984.468,9844680,0
483.516,407391,21937.5,1968.75,1462.5,4584160,3937.5,2925,9168320,768.558,9222700,0
532.498,536837,20109.4,1804.69,1340.62,5537060,3609.38,2681.25,11074100,1011.27,11124000,0
471.93,584773,20109.4,1804.69,1340.62,6031400,3609.38,2681.25,12062800,1101.15,12112600,0
722.629,662333,14625,1312.5,975,4968170,2625,1950,9936340,1246.57,9972600,0
527.739,635086,20109.4,1804.69,1340.62,6550250,3609.38,2681.25,13100500,1195.49,13150400,0
788.268,538097,1359860,115140,83583.8,378124000,230280,167168,756248000,998.115,759566000,1
873.575,500123,1224270,106020,77670,315930000,212040,155340,631860000,926.811,634865000,1
776.488,520249,1374570,116541,84646.9,369845000,233081,169294,739690000,966.249,743045000,1
582.663,580322,18281.3,1640.62,1218.75,5441370,3281.25,2437.5,10882700,1092.81,10928100,0
781.97,506251,1365480,119093,87495,356793000,238187,174990,713587000,938.41,716945000,1
504.957,457856,20109.4,1804.69,1340.62,4722570,3609.38,2681.25,9445130,863.18,9494980,0
590.921,449659,14625,1312.5,975,3373120,2625,1950,6746240,847.811,6782490,0
778.403,518725,1374950,118580,86728.1,368531000,237159,173456,737062000,962.853,740434000,1
774.161,526855,1384480,116467,84320.6,377586000,232935,168641,755172000,981.3,758545000,1
