Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
787.027,454.775,537893,761,79,1361950.0,101149.0,115568,83970.0,378863000.0,8.0,159.625,682,0,0,0,0,492.51,492.899,492.977,461.931,2723900.0,202298,231137,167940,757727000.0,1001.38,761052000.0
751.696,565.192,523515,799,94,1428090.0,104186.0,120141,86981.3,386638000.0,10.0,188.25,705,0,0,0,0,611.904,612.378,612.423,573.893,2856190.0,208372,240281,173963,773275000.0,973.376,776754000.0
732.797,578.14,543394,817,109,1461590.0,104946.0,122024,88063.1,410777000.0,9.1875,219.125,708,0,0,0,0,625.239,625.729,625.853,586.427,2923190.0,209891,244048,176126,821554000.0,1011.16,825107000.0
728.113,418.251,531169,824,91,1475800.0,108439.0,124583,90326.3,405336000.0,7.0,183.875,733,0,0,0,0,452.465,452.835,452.894,424.385,2951600.0,216878,249165,180652,810672000.0,989.392,814270000.0
786.253,424.758,525438,763,80,1363510.0,100845.0,115468,83827.5,370151000.0,10.0,161.5,683,0,0,0,0,460.552,461.019,461.047,431.996,2727030.0,201690,230936,167655,740302000.0,975.891,743629000.0
745.131,413.137,494480,804,89,1436020.0,105857.0,121414,88085.6,366988000.0,8.0625,179.0,715,0,0,0,0,447.982,448.344,448.424,420.18,2872050.0,211714,242828,176171,733976000.0,918.404,737479000.0
806.074,338.138,508556,744,63,1330370.0,100693.0,113937,83098.1,349318000.0,8.0625,127.688,681,0,0,0,0,366.84,367.196,367.214,344.106,2660730.0,201386,227874,166196,698636000.0,944.674,701893000.0
796.685,456.956,536198,752,70,1343690.0,102668.0,115614,84480.0,371656000.0,9.0,141.75,682,0,0,0,0,496.351,496.698,496.744,465.526,2687380.0,205335,231229,168960,743312000.0,994.148,746605000.0
777.005,357.117,503872,768,74,1372410.0,104186.0,117711,85901.2,356906000.0,8.0,148.125,694,0,0,0,0,387.318,387.57,387.724,363.287,2744830.0,208373,235421,171802,713811000.0,935.035,717172000.0
804.783,238.687,537262,746,58,1333690.0,103427.0,115599,84718.1,369988000.0,7.25,116.875,688,0,0,0,0,259.097,259.361,259.451,243.053,2667390.0,206854,231199,169436,739976000.0,997.652,743251000.0
785.319,405.474,520927,764,67,1366140.0,102364.0,116425,84742.5,367849000.0,9.0,135.625,697,0,0,0,0,439.64,440.002,440.084,412.374,2732270.0,204727,232851,169485,735698000.0,968.594,739037000.0
767.931,195.592,534915,778,47,1390890.0,109046.0,121214,89025.0,384264000.0,8.0,94.0,731,0,0,0,0,212.294,212.551,212.617,199.183,2781790.0,218092,242428,178050,768529000.0,993.499,771949000.0
805.187,595.084,523363,743,81,1330340.0,97655.6,112251,81369.4,359812000.0,11.0,163.125,662,0,0,0,0,643.659,644.054,644.128,603.652,2660690.0,195311,224501,162739,719623000.0,974.214,722867000.0
777.534,444.909,527578,771,85,1379970.0,102212.0,116945,84924.4,376407000.0,7.1875,170.75,686,0,0,0,0,481.747,482.076,482.248,451.852,2759940.0,204424,233889,169849,752813000.0,982.054,756181000.0
835.951,424.89,519049,715,71,1275520.0,96136.9,109015,79441.9,342015000.0,8.0,142.375,644,0,0,0,0,461.6,461.978,462.02,432.939,2551050.0,192274,218031,158884,684030000.0,962.396,687151000.0
796.16,300.615,508738,753,67,1346050.0,103731.0,116307,85130.6,353088000.0,7.125,134.5,686,0,0,0,0,326.229,326.501,326.604,305.989,2692100.0,207461,232614,170261,706176000.0,943.456,709479000.0
759.177,461.954,532354,790,89,1412260.0,103882.0,119281,86501.2,388521000.0,8.0,178.5,701,0,0,0,0,500.3,500.679,500.764,469.221,2824520.0,207765,238562,173002,777043000.0,989.21,780486000.0
795.788,197.8,550899,753,41,1347810.0,106768.0,118070,86893.1,382953000.0,6.0625,83.875,712,0,0,0,0,214.815,215.014,215.06,201.515,2695620.0,213536,236139,173786,765906000.0,1022.91,769225000.0
780.796,422.905,528119,766,77,1367790.0,102212.0,116413,84688.1,373147000.0,7.125,154.5,689,0,0,0,0,458.82,459.22,459.269,430.339,2735580.0,204424,232826,169376,746294000.0,979.916,749636000.0
830.537,320.66,549057,723,58,1289550.0,99326.2,111397,81528.8,365866000.0,6.0625,116.125,665,0,0,0,0,348.617,348.966,349.028,327.01,2579110.0,198652,222795,163058,731732000.0,1017.86,734895000.0
792.032,196.381,522566,758,49,1353540.0,104642.0,117140,85794.4,364853000.0,6.1875,98.0,709,0,0,0,0,213.225,213.534,213.556,200.067,2707080.0,209284,234279,171589,729706000.0,968.333,733028000.0
816.479,480.236,528404,734,74,1311640.0,98415.0,111856,81438.8,358449000.0,11.0,148.625,660,0,0,0,0,520.737,521.18,521.209,488.418,2623290.0,196830,223712,162878,716898000.0,982.408,720105000.0
799.234,481.607,484144,750,76,1338800.0,100237.0,114052,83002.5,334630000.0,8.0,152.75,674,0,0,0,0,522.929,523.24,523.312,490.42,2677600.0,200475,228105,166005,669259000.0,897.906,672532000.0
763.969,271.203,529385,785,57,1402720.0,108439.0,121393,88908.8,383262000.0,7.1875,114.875,728,0,0,0,0,294.5,294.804,294.821,276.272,2805440.0,216878,242786,177818,766524000.0,982.101,769967000.0
853.649,295.18,512707,703,49,1255350.0,97351.9,108809,79741.9,331304000.0,6.25,99.0,654,0,0,0,0,320.87,321.128,321.159,300.946,2510700.0,194704,217618,159484,662608000.0,948.277,665690000.0
766.471,532.09,516325,783,86,1399200.0,102364.0,117868,85383.8,373510000.0,11.0,173.0,697,0,0,0,0,576.521,576.989,577.029,540.709,2798390.0,204728,235736,170768,747019000.0,959.627,750429000.0
889.045,201.868,524168,674,39,1202000.0,95377.5,105385,77583.8,324801000.0,7.0,79.125,635,0,0,0,0,219.911,220.15,220.211,206.311,2404010.0,190755,210771,155168,649602000.0,969.633,652563000.0
721.013,316.984,533647,833,80,1488620.0,112539.0,127417,92908.1,410557000.0,8.125,160.25,753,0,0,0,0,343.731,344.109,344.159,322.443,2977240.0,225079,254835,185816,821114000.0,991.295,824757000.0
783.707,466.981,495498,766,75,1369880.0,102819.0,116842,85074.4,349952000.0,8.0,151.0,691,0,0,0,0,506.143,506.546,506.575,474.715,2739760.0,205639,233683,170149,699903000.0,919.284,703253000.0
779.109,252.589,531427,770,50,1380960.0,106920.0,119601,87622.5,378538000.0,6.1875,101.062,720,0,0,0,0,273.36,273.632,273.662,256.429,2761920.0,213840,239201,175245,757076000.0,988.902,760466000.0
845.912,125.916,525413,710,36,1268430.0,101908.0,111908,82588.1,343202000.0,6.0625,71.9375,674,0,0,0,0,136.854,137.112,137.144,128.439,2536860.0,203816,223817,165176,686404000.0,972.545,689534000.0
781.261,401.022,542916,768,76,1373270.0,102668.0,116905,85053.8,385224000.0,9.0,153.188,692,0,0,0,0,434.656,435.07,435.111,407.711,2746540.0,205335,233811,170108,770447000.0,1008.87,773803000.0
762.892,379.645,506590,786,66,1404970.0,106312.0,120311,87742.5,367781000.0,6.0,132.5,720,0,0,0,0,411.683,411.967,412.116,386.144,2809940.0,212625,240622,175485,735562000.0,941.402,739001000.0
760.615,227.597,515358,787,46,1408910.0,110109.0,122590,89979.4,374957000.0,6.125,92.4375,741,0,0,0,0,246.783,247.037,247.12,231.504,2817820.0,220219,245181,179959,749914000.0,958.496,753378000.0
781.97,195.631,506251,765,55,1365480.0,107224.0,119093,87495.0,356793000.0,7.0625,110.562,710,0,0,0,0,212.778,212.996,213.074,199.632,2730950.0,214448,238187,174990,713587000.0,938.41,716945000.0
768.822,384.324,522506,780,79,1394770.0,103731.0,118433,86075.6,376614000.0,6.0625,158.75,701,0,0,0,0,416.324,416.718,416.749,390.509,2789540.0,207461,236867,172151,753227000.0,971.288,756633000.0
820.596,445.289,529899,731,71,1307370.0,97048.1,110911,80578.1,357658000.0,8.125,142.25,660,0,0,0,0,482.108,482.423,482.487,452.162,2614740.0,194096,221822,161156,715317000.0,984.258,718509000.0
755.236,339.743,527666,793,67,1421680.0,108135.0,122052,89103.7,387507000.0,8.0,135.75,726,0,0,0,0,367.667,367.992,368.142,344.894,2843370.0,216270,244104,178207,775015000.0,982.951,778497000.0
772.813,441.677,521886,776,84,1388070.0,104186.0,118394,86205.0,374154000.0,9.0,169.75,692,0,0,0,0,478.84,479.234,479.289,449.112,2776150.0,208372,236788,172410,748308000.0,969.937,751701000.0
803.726,285.911,511759,746,53,1333780.0,103579.0,115688,84806.2,352090000.0,7.1875,106.0,693,0,0,0,0,310.26,310.521,310.627,291.022,2667560.0,207158,231375,169612,704180000.0,949.606,707456000.0
848.934,221.753,528085,707,42,1264400.0,97959.4,109541,80263.1,344777000.0,7.0625,85.375,665,0,0,0,0,240.687,240.975,241.022,225.792,2528800.0,195919,219083,160526,689553000.0,981.101,692657000.0
750.191,298.105,515166,800,74,1428470.0,107831.0,122180,89062.5,380440000.0,8.0,148.125,726,0,0,0,0,323.472,323.81,323.826,303.43,2856940.0,215662,244359,178125,760880000.0,956.665,764375000.0
790.411,313.879,526586,758,54,1359550.0,106009.0,118161,86688.7,368916000.0,6.125,108.875,704,0,0,0,0,339.741,340.03,340.054,318.677,2719100.0,212018,236321,173378,737833000.0,979.093,741174000.0
762.895,202.504,523058,786,55,1405700.0,110565.0,122703,90176.3,378585000.0,7.125,110.0,731,0,0,0,0,219.743,220.042,220.087,206.167,2811390.0,221130,245406,180352,757170000.0,968.953,760628000.0
825.606,278.62,534217,727,52,1296780.0,99781.9,111966,81928.1,357828000.0,7.1875,105.875,675,0,0,0,0,302.852,303.127,303.18,284.081,2593560.0,199564,223931,163856,715656000.0,990.133,718837000.0
786.259,399.759,543642,763,81,1364220.0,102060.0,116173,84532.5,382695000.0,11.0,162.562,682,0,0,0,0,433.198,433.599,433.627,406.338,2728440.0,204120,232346,169065,765391000.0,1008.83,768725000.0
804.362,317.055,519520,746,60,1334200.0,101301.0,114442,83518.1,357904000.0,6.1875,121.75,686,0,0,0,0,343.936,344.273,344.315,322.608,2668400.0,202601,228883,167036,715808000.0,965.201,719075000.0
788.268,475.893,538097,762,86,1359860.0,100541.0,115140,83583.8,378124000.0,7.1875,171.0,676,0,0,0,0,516.173,516.633,516.742,484.145,2719720.0,201083,230280,167168,756248000.0,998.115,759566000.0
785.009,321.462,517161,762,63,1361970.0,104186.0,117255,85698.8,363699000.0,7.125,126.75,699,0,0,0,0,348.843,349.115,349.154,327.194,2723950.0,208372,234510,171398,727398000.0,960.232,730736000.0
815.92,288.428,505442,735,49,1316210.0,103275.0,114752,84292.5,342550000.0,8.0625,99.875,686,0,0,0,0,313.0,313.243,313.301,293.58,2632410.0,206550,229504,168585,685099000.0,937.788,688336000.0
