Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain
0,350.16,0.37437,539167,12,0,1,4,962.939,521632,0.289,0,13650,20540,9720,1134,1225,10500,7800,910,3844941,31303290,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
1,350.202,0.412187,539167,12,0,1,4,880.053,379121,0.196,0,13650,20540,9720,1134,1225,10500,7800,910,4414982,22752675,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
2,350.196,0.498221,539167,12,0,1,1,276.805,946777,0.159,0,19500,20150,2430,1620,1750,2625,1950,1300,4984960,14203005,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
3,350.253,0.825876,539167,12,0,1,2,1689.58,690524,0.133,0,17550,20280,4860,1458,1575,5250,3900,1170,4550598,20718435,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
4,350.191,0.503552,539167,12,0,1,0,0,0,0.066,0,21450,20020,0,1782,1925,0,0,1430,5931827,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
5,350.269,1.01082,539167,12,0,1,0,0,0,0.054,0,21450,20020,0,1782,1925,0,0,1430,5931827,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
6,350.236,0.798855,539167,12,0,1,0,0,0,0.029,0,21450,20020,0,1782,1925,0,0,1430,5931827,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
7,350.23,0.772293,539167,12,0,1,0,0,0,0.016,0,21450,20020,0,1782,1925,0,0,1430,5931827,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
8,350.292,1.0811,539167,12,0,1,0,0,0,0.012,0,21450,20020,0,1782,1925,0,0,1430,5931827,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
9,350.286,1.05615,539167,12,0,1,0,0,0,0.012,0,21450,20020,0,1782,1925,0,0,1430,5931827,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
10,350.275,0.973341,539167,12,0,1,0,0,0,0.012,0,21450,20020,0,1782,1925,0,0,1430,5931827,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
11,350.241,0.803334,539167,12,0,1,0,0,0,0.009,0,21450,20020,0,1782,1925,0,0,1430,5931827,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
12,350.264,1.02628,539167,12,0,1,0,0,0,0.005,0,21450,20020,0,1782,1925,0,0,1430,5931827,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
13,350.28,0.977332,539167,12,0,1,0,0,0,0.005,0,21450,20020,0,1782,1925,0,0,1430,5931827,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
14,350.258,0.910263,539167,12,0,1,0,0,0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5931827,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
15,350.297,1.1753,539167,12,0,1,0,0,0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5931827,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
