Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain
0,752.659,1.50327,452883,8,0,0,0,0,0,0,0,5460,4550,0,1134,1225,0,0,910,3170812,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
1,752.554,0.446134,452883,8,0,1,2,2352.55,645366,0.289,0,12350,16640,6156,810,875,6650,4940,650,1879900,24527328,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
2,752.562,0.515426,452883,8,0,1,1,2821.05,409184,0.196,0,14820,16510,3078,972,1050,3325,2470,780,2761538,7776206,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
3,752.509,0.456007,452883,8,0,1,2,2633.78,333058,0.159,0,12350,16640,6156,810,875,6650,4940,650,2504517,12659605,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
4,755.244,23.7771,452883,8,0,0,0,0,0,0,0,8190,7280,0,1134,1225,0,0,910,3170812,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5,752.658,0.895856,452883,8,0,1,1,2139.14,56855,0.133,0,14820,16510,3078,972,1050,3325,2470,780,3113867,1081955,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
6,752.558,0.549852,452883,8,0,1,0,0,0,0.066,0,17290,16380,0,1134,1225,0,0,910,3170812,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
7,752.638,0.79363,452883,8,0,0,0,0,0,0,0,6370,5460,0,1134,1225,0,0,910,3170812,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
8,752.674,0.929729,452883,8,0,1,0,0,0,0.054,0,17160,16380,162,1134,1225,175,130,910,3170812,747386,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
9,752.628,0.683154,452883,8,0,1,0,0,0,0.029,0,16250,15470,162,1134,1225,175,130,910,3170812,747386,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
10,752.615,0.638543,452883,8,0,1,0,0,0,0.016,0,15340,14560,162,1134,1225,175,130,910,3170812,747386,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
11,752.662,1.0479,452883,8,0,1,0,0,0,0.012,0,15470,14560,0,1134,1225,0,0,910,3170812,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
12,752.649,0.990387,452883,8,0,1,0,0,0,0.012,0,14560,13650,0,1134,1225,0,0,910,3170812,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
13,752.666,0.959716,452883,8,0,1,0,0,0,0.012,0,14560,13650,0,1134,1225,0,0,910,3170812,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
14,752.633,0.759764,452883,8,0,0,0,0,0,0,0,11830,10920,0,1134,1225,0,0,910,3170812,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
15,752.623,0.678836,452883,8,0,1,1,728.83,747296,0.009,0,12480,13780,2592,972,1050,2800,2080,780,2423426,11958176,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
16,752.679,0.980644,452883,8,0,1,0,0,0,0.005,0,14560,13650,0,1134,1225,0,0,910,3170812,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
17,752.653,0.930652,452883,8,0,1,0,0,0,0.005,0,13650,12740,0,1134,1225,0,0,910,3170812,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
18,752.67,0.935672,452883,8,0,1,0,0,0,0.002,0,13650,12740,0,1134,1225,0,0,910,3170812,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
19,752.684,1.06748,452883,8,0,1,0,0,0,0.002,0,13650,12740,0,1134,1225,0,0,910,3170812,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
