Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain
0,714.338,2.04482,536690,34,0,0,0,0,0,0,0,25740,21450,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
1,714.524,7.25614,536690,34,0,0,0,0,0,0,0,38610,34320,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2,714.316,1.88305,536690,34,0,0,0,0,0,0,0,30030,25740,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
3,714.428,4.80989,536690,34,0,0,0,0,0,0,0,55770,51480,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
4,714.3,2.25101,536690,34,0,0,0,0,0,0,0,77220,72930,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
5,714.28,1.72832,536690,34,0,0,0,0,0,0,0,47190,42900,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
6,714.305,3.94606,536690,34,0,0,0,0,0,0,0,12870,8580,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
7,714.312,1.84912,536690,34,0,0,0,0,0,0,0,47190,42900,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
8,715.033,20.0896,536690,34,0,0,0,0,0,0,0,8580,4290,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
9,714.305,2.98531,536690,34,0,0,0,0,0,0,0,17160,12870,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
