Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
0,931.49,0.631112,230986,5,0,1,0,0,0,0.289,0,7800,7280,0,648,700,0,0,520,924306,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1.37148e-319,0,1.08349e-320,4.63631e-310
1,931.414,0.447887,230986,5,0,1,2,1862.83,195206,0.196,0,3900,7540,4860,324,350,5250,3900,260,533713,5858895,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.63631e-310,4.63631e-310,4.63631e-310,4.63631e-310
2,931.496,0.620699,230986,5,0,1,0,0,0,0.159,0,7800,7280,0,648,700,0,0,520,924306,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.63631e-310,4.63631e-310,4.63631e-310,4.63631e-310
3,931.647,0.676353,230986,5,0,1,0,0,0,0.133,0,7800,7280,0,648,700,0,0,520,924306,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.63631e-310,4.63631e-310,4.63631e-310,4.63631e-310
4,931.501,0.646768,230986,5,0,1,0,0,0,0.066,0,7800,7280,0,648,700,0,0,520,924306,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.63631e-310,4.63631e-310,4.63631e-310,4.63631e-310
5,931.657,0.577562,230986,5,0,1,1,3113.04,29005,0.054,0,5850,7410,2430,486,525,2625,1950,390,895211,436425,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.63631e-310,4.63631e-310,4.63631e-310,4.63631e-310
6,931.605,0.514739,230986,5,0,1,0,0,0,0.029,0,7800,7280,0,648,700,0,0,520,924306,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.63631e-310,4.63631e-310,4.63631e-310,4.63631e-310
7,931.612,0.502882,230986,5,0,1,0,0,0,0.016,0,7800,7280,0,648,700,0,0,520,924306,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.63631e-310,4.63631e-310,1.12252e-320,2.37152e-322
8,931.678,0.736191,230986,5,0,1,0,0,0,0.012,0,7800,7280,0,648,700,0,0,520,924306,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5.80398E+180,3.94646E+180,2.59441E+161,2.35174E+251
9,931.689,0.697647,230986,5,0,1,0,0,0,0.012,0,7800,7280,0,648,700,0,0,520,924306,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8.78414E+247,2.64686E+180,4.73224E+164,9.08356E-307
10,931.667,0.654271,230986,5,0,1,0,0,0,0.012,0,7800,7280,0,648,700,0,0,520,924306,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1.50617E+161,1.46923E+195,4.41622E+257,1.1725E+166
11,931.598,0.452885,230986,5,0,1,1,2202.41,504528,0.009,0,5850,7410,2430,486,525,2625,1950,390,419688,7569270,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.788E+209,2.17898E+068,1.14489E+243,9.5355E-307
12,931.673,0.679028,230986,5,0,1,0,0,0,0.005,0,7800,7280,0,648,700,0,0,520,924306,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.1711E+180,3.99728E+252,4.09073E+087,4.71592E+257
13,931.662,0.621396,230986,5,0,1,0,0,0,0.005,0,7800,7280,0,648,700,0,0,520,924306,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3.87842e-321,4.63631e-310,4.63631e-310
14,931.652,0.659612,230986,5,0,1,0,0,0,0.002,0,7800,7280,0,648,700,0,0,520,924306,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.63631e-310,4.63631e-310,4.63631e-310,2.96439e-323
15,931.683,0.667883,230986,5,0,1,0,0,0,0.002,0,7800,7280,0,648,700,0,0,520,924306,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.63631e-310,4.63631e-310,2.37152e-321,2.37152e-322
