Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
0,457.18,0.499989,703790,8,0,1,3,1056.81,576445,0.289,0,7800,13130,7290,648,700,7875,5850,520,3197552,25944075,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1.37148e-319,0,1.08349e-320,4.67442e-310
1,457.169,0.636019,703790,8,0,1,1,889.287,331971,0.196,0,11700,12870,2430,972,1050,2625,1950,780,4595096,4980915,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67442e-310,4.67442e-310,4.67442e-310,4.67442e-310
2,457.192,0.636564,703790,8,0,1,1,1235.79,933696,0.159,0,11700,12870,2430,972,1050,2625,1950,780,3993371,14006790,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67442e-310,4.67442e-310,4.67442e-310,4.67442e-310
3,456.968,0.826538,703790,8,0,1,1,3198.78,999731,0.133,0,11700,12870,2430,972,1050,2625,1950,780,3927336,14997315,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67442e-310,4.67442e-310,4.67442e-310,4.67442e-310
4,457.158,0.660558,703790,8,0,1,0,0,0,0.066,0,13650,12740,0,1134,1225,0,0,910,4927157,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67442e-310,4.67442e-310,4.67442e-310,4.67442e-310
5,457.062,0.942414,703790,8,0,1,1,444.389,931794,0.054,0,11700,12870,2430,972,1050,2625,1950,780,3995273,13978260,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67442e-310,4.67442e-310,4.67442e-310,4.67442e-310
6,457.108,0.879314,703790,8,0,1,0,0,0,0.029,0,13650,12740,0,1134,1225,0,0,910,4927157,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67442e-310,4.67442e-310,4.67442e-310,4.67442e-310
7,457.096,0.816942,703790,8,0,1,0,0,0,0.016,0,13650,12740,0,1134,1225,0,0,910,4927157,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67442e-310,4.67442e-310,1.12252e-320,2.37152e-322
8,457.039,1.09052,703790,8,0,1,0,0,0,0.012,0,13650,12740,0,1134,1225,0,0,910,4927157,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5.80398e+180,3.94646e+180,2.59441e+161,2.35174e+251
9,457.027,0.985416,703790,8,0,1,0,0,0,0.012,0,13650,12740,0,1134,1225,0,0,910,4927157,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8.78414e+247,2.64686e+180,4.73224e+164,9.08356e-307
10,456.993,0.957168,703790,8,0,1,0,0,0,0.012,0,13650,12740,0,1134,1225,0,0,910,4927157,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1.50617e+161,1.46923e+195,4.41622e+257,1.1725e+166
11,457.121,0.872083,703790,8,0,1,0,0,0,0.009,0,13650,12740,0,1134,1225,0,0,910,4927157,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.788e+209,2.17898e+68,1.14489e+243,9.5355e-307
12,457.05,0.957589,703790,8,0,1,0,0,0,0.005,0,13650,12740,0,1134,1225,0,0,910,4927157,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.1711e+180,3.99728e+252,4.09073e+87,4.71592e+257
13,457.016,0.921349,703790,8,0,1,0,0,0,0.005,0,13650,12740,0,1134,1225,0,0,910,4927157,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3.87842e-321,4.67442e-310,4.67442e-310
14,457.004,0.875401,703790,8,0,1,0,0,0,0.002,0,13650,12740,0,1134,1225,0,0,910,4927157,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67442e-310,4.67442e-310,4.67442e-310,2.96439e-323
15,457.075,1.1688,703790,8,0,1,0,0,0,0.002,0,13650,12740,0,1134,1225,0,0,910,4927157,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67442e-310,4.67442e-310,2.37152e-321,2.37152e-322
