Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,409.236,0.465148,461019,14,0,3,1571.79,571623,0.289,0,19500,24050,7290,1620,1750,7875,5850,1300,4279275,25727085,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
1,409.235,0.447281,461019,14,0,4,381.16,546470,0.196,0,17550,24180,9720,1458,1575,10500,7800,1170,3808174,32793600,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
2,409.237,0.539774,461019,14,0,1,693.81,4872,0.159,0,23400,23790,2430,1944,2100,2625,1950,1560,5989452,74430,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
3,409.162,0.750776,461019,14,0,2,2659.55,470380,0.133,0,21450,23920,4860,1782,1925,5250,3900,1430,5053475,14114085,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
4,409.234,0.535676,461019,14,0,1,1846,247255,0.066,0,23400,23790,2430,1944,2100,2625,1950,1560,5747069,3710175,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
5,409.178,0.866466,461019,14,0,0,0,0,0.054,0,25350,23660,0,2106,2275,0,0,1690,5994414,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
6,409.191,0.689774,461019,14,0,0,0,0,0.029,0,25350,23660,0,2106,2275,0,0,1690,5994414,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
7,409.19,0.689377,461019,14,0,0,0,0,0.016,0,25350,23660,0,2106,2275,0,0,1690,5994414,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
8,409.175,0.943908,461019,14,0,1,3674.72,457847,0.012,0,23400,23790,2430,1944,2100,2625,1950,1560,5536477,6869055,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
9,409.174,0.956413,461019,14,0,0,0,0,0.012,0,25350,23660,0,2106,2275,0,0,1690,5994414,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
10,409.17,0.856461,461019,14,0,0,0,0,0.012,0,25350,23660,0,2106,2275,0,0,1690,5994414,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
11,409.193,0.686135,461019,14,0,1,2318.61,441762,0.009,0,23400,23790,2430,1944,2100,2625,1950,1560,5552562,6627780,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
12,409.177,0.890119,461019,14,0,0,0,0,0.005,0,25350,23660,0,2106,2275,0,0,1690,5994414,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
13,409.173,0.848529,461019,14,0,0,0,0,0.005,0,25350,23660,0,2106,2275,0,0,1690,5994414,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
14,409.172,0.791702,461019,14,0,0,0,0,0.002,0,25350,23660,0,2106,2275,0,0,1690,5994414,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
15,409.18,0.994587,461019,14,0,0,0,0,0.002,0,25350,23660,0,2106,2275,0,0,1690,5994414,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
