Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
587.448,0.736592,493702,11,0,18281.2,1518.75,1640.62,1218.75,4629300.0,0,0,11,0,0,0,0,0.633967,0.860151,0.937851,0.736592,36562.5,3037.5,3281.25,2437.5,9258610.0,930.393,9303930.0
668.879,0.702222,491784,9,0,14625.0,1215.0,1312.5,975.0,3689050.0,0,0,9,0,0,0,0,0.658805,0.754611,0.795828,0.702222,29250.0,2430.0,2625.0,1950.0,7378100.0,926.795,7414360.0
673.997,0.852085,563702,9,0,14625.0,1215.0,1312.5,975.0,4228440.0,0,0,9,0,0,0,0,0.787335,1.09999,1.15831,0.852085,29250.0,2430.0,2625.0,1950.0,8456870.0,1061.64,8493130.0
615.556,0.737386,352102,9,0,14625.0,1215.0,1312.5,975.0,2641440.0,0,0,9,0,0,0,0,0.631951,0.901555,0.946768,0.737386,29250.0,2430.0,2625.0,1950.0,5282880.0,664.892,5319140.0
410.537,0.691352,459215,15,0,25593.8,2126.25,2296.88,1706.25,6028380.0,0,0,15,0,0,0,0,0.627045,0.763982,0.797554,0.691352,51187.5,4252.5,4593.75,3412.5,12056800.0,865.729,12120200.0
473.353,0.805691,562249,13,0,21937.5,1822.5,1968.75,1462.5,6326310.0,0,0,13,0,0,0,0,0.750479,0.963095,1.04936,0.805691,43875.0,3645.0,3937.5,2925.0,12652600.0,1058.92,12707000.0
524.752,0.732231,301755,12,0,20109.4,1670.62,1804.69,1340.62,3112780.0,0,0,12,0,0,0,0,0.7011,0.91193,0.957684,0.732231,40218.8,3341.25,3609.38,2681.25,6225560.0,570.492,6275410.0
474.132,0.81965,598388,13,0,21937.5,1822.5,1968.75,1462.5,6732880.0,0,0,13,0,0,0,0,0.78519,0.969241,1.04698,0.81965,43875.0,3645.0,3937.5,2925.0,13465800.0,1126.68,13520100.0
452.898,0.753254,424080,13,0,21937.5,1822.5,1968.75,1462.5,4771910.0,0,0,13,0,0,0,0,0.655042,0.9443,1.00008,0.753254,43875.0,3645.0,3937.5,2925.0,9543830.0,799.851,9598210.0
501.031,0.729999,470893,11,0,18281.3,1518.75,1640.62,1218.75,4415470.0,0,0,11,0,0,0,0,0.683033,0.826445,0.899675,0.729999,36562.5,3037.5,3281.25,2437.5,8830930.0,887.625,8876250.0
937.744,0.866897,758292,5,0,7312.5,607.5,656.25,487.5,2843930.0,0,0,5,0,0,0,0,0.750863,1.08365,1.20493,0.866897,14625.0,1215.0,1312.5,975.0,5687860.0,1426.5,5705990.0
663.439,0.866779,497829,9,0,14625.0,1215.0,1312.5,975.0,3734390.0,0,0,9,0,0,0,0,0.80027,1.15261,1.25307,0.866779,29250.0,2430.0,2625.0,1950.0,7468780.0,938.129,7505030.0
