Iteration,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Stale Blocks,Size of Longest Fork,Mined Blocks in Main Blockchain,Honest Mining Income,Attacker Income,Attacker's Hash Rate,Time per Block
1,609.098,0.536329,515673,0,10,58,280,58,0.3,600
2,638.296,0.470167,510916,0,10,85,283,85,0.3,600
3,620.768,0.477089,508099,0,11,77,313,77,0.3,600
4,640.25,0.455663,491602,0,9,112,316,112,0.3,600
5,608.434,0.484043,499228,0,8,65,284,65,0.3,600
6,640.273,0.428976,512674,0,9,95,304,95,0.3,600
7,629.809,0.497906,513813,0,9,45,277,45,0.3,600
8,629.887,0.49329,503964,0,10,96,305,96,0.3,600
9,633.287,0.47733,521852,0,9,77,283,77,0.3,600
10,613.199,0.454486,479784,0,12,113,320,113,0.3,600
11,635.524,0.477448,509695,0,8,52,275,52,0.3,600
12,618.23,0.437474,506624,0,9,110,317,110,0.3,600
13,633.278,0.460952,539007,0,7,63,277,63,0.3,600
14,615.882,0.514191,516660,0,7,35,260,35,0.3,600
15,637.557,0.490583,516244,0,8,70,273,70,0.3,600
16,629.733,0.463842,514655,0,8,138,323,138,0.3,600
17,636.907,0.487025,495632,0,10,82,271,82,0.3,600
18,601.994,0.486633,494113,0,11,64,312,64,0.3,600
19,616.543,0.493457,502885,0,7,71,280,71,0.3,600
20,625.401,0.469217,496973,0,8,88,287,88,0.3,600
21,676.992,0.488634,517009,0,8,92,272,92,0.3,600
22,651.071,0.518664,504589,0,10,51,273,51,0.3,600
23,651.166,0.476737,523774,0,10,53,269,53,0.3,600
