Iteration,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Stale Blocks,Size of Longest Fork,Mined Blocks in Main Blockchain,Honest Mining Income,Attacker Income,Attacker's Hash Rate,Time per Block,Fork Height,Fork Length,Block Interval,Time Interval
1,652.969,0.48938,501800,0,8,128,295,128,0.3,600,0,0,0,0
2,611.311,0.491872,508851,0,10,56,273,56,0.3,600,446566,8.29954e-317,0,5.14322e-321
3,603.358,0.477241,497753,0,8,100,315,100,0.3,600,3.16202e-322,3.21143e-322,4.68855e-310,4.68855e-310
4,622.015,0.475217,515411,0,9,93,281,93,0.3,600,3.95253e-322,2.42092e-322,4.68855e-310,4.68855e-310
5,622.07,0.492139,503363,0,9,68,289,68,0.3,600,0,0,0,0
6,644.351,0.452498,497568,0,7,72,285,72,0.3,600,0.998,0.998,0.998,0.998
7,639.018,0.459366,517693,0,9,85,296,85,0.3,600,0.998,0.998,0.998,0.998
8,622.587,0.506298,501334,0,8,73,283,73,0.3,600,0,0,0,0
9,621.778,0.450559,496576,0,8,117,296,117,0.3,600,0.998,0.998,0.998,0.998
10,622.133,0.459956,525304,0,9,63,302,63,0.3,600,62.1,62.2,62.3,62.4
11,597.623,0.472484,494398,0,8,71,296,71,0.3,600,0.998,0.998,0.998,0.998
12,615.955,0.447146,487352,0,8,77,293,77,0.3,600,89.1,89.2,89.3,89.4
13,617.45,0.447322,519794,0,10,71,307,71,0.3,600,4.68855e-310,4.39718e-322,1.26481e-321,3.16202e-322
14,629.619,0.504407,525072,0,9,83,286,83,0.3,600,4.68757e-310,2.122e-314,4.68855e-310,3.04839e-321
15,641.252,0.479916,519295,0,12,101,291,101,0.3,600,3.16202e-322,3.16202e-322,4.68757e-310,1.4854e-313
16,640.359,0.46234,515396,0,9,109,288,109,0.3,600,62.1,62.2,62.3,62.4
17,596.558,0.459303,508940,0,8,88,317,88,0.3,600,0,0,0,7.95446e-322
18,628.509,0.49516,506237,0,9,58,280,58,0.3,600,7.90505e-322,3.16202e-322,4.68757e-310,2.122e-314
19,610.389,0.461985,510868,0,9,59,295,59,0.3,600,4.68757e-310,4.24399e-314,1.43803e-309,262204
20,608.453,0.472928,515899,0,11,80,300,80,0.3,600,310.1,310.6,311.1,311.6
21,628.107,0.516635,500815,0,10,60,265,60,0.3,600,2.15145e-312,1.63042e-322,4.68855e-310,4.68855e-310
