Iteration,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Stale Blocks,Size of Longest Fork,Mined Blocks in Main Blockchain,Honest Mining Income,Attacker Income,Attacker's Hash Rate,Time per Block,Fork Height,Fork Length,Block Interval,Time Interval
1,645.49,0.498385,520660,0,9,103,302,103,0.3,600,0,0,0,0
2,624.551,0.458502,522754,0,10,120,308,120,0.3,600,3.95253e-322,5.53354e-322,4.67771e-310,4.24399e-314
3,621.551,0.478521,479494,0,8,68,298,68,0.3,600,62.1,62.2,62.3,62.4
4,618.17,0.474807,486144,0,7,49,272,49,0.3,600,62.1,62.2,62.3,62.4
5,631.188,0.476053,527805,0,8,101,309,101,0.3,600,0,1.11165e-321,4.67827e-310,6.92415e-310
6,626.136,0.482153,511507,0,8,63,268,63,0.3,600,3.16202e-322,3.21143e-322,4.67827e-310,4.67827e-310
7,620.02,0.466241,509808,0,8,85,302,85,0.3,600,4.67827e-310,6.92415e-310,0,2.07201e-136
8,647.399,0.492488,514936,0,9,92,292,92,0.3,600,0,0,0,0
9,647.271,0.482187,504188,0,9,71,283,71,0.3,600,3.1943e-309,27711.7,27711.7,-1.05271e-314
10,634.324,0.445515,516029,0,8,77,291,77,0.3,600,4.67771e-310,1.9098e-313,2.11037e-308,74934.6
11,616.493,0.469792,515168,0,7,98,298,98,0.3,600,0,0,0,0
12,614.147,0.452115,492546,0,14,89,295,89,0.3,600,7.11455e-322,4.74303e-322,4.67771e-310,5.87793e-312
13,628.956,0.478357,520910,0,8,44,277,44,0.3,600,4.67827e-310,4.39718e-322,2.37152e-322,3.16202e-322
14,568.178,0.49213,506934,0,9,120,333,120,0.3,600,3.04465e-309,2.54648e-313,4.67827e-310,2.42092e-322
15,637.146,0.484296,506708,0,9,94,302,94,0.3,600,4.67827e-310,4.39718e-322,1.26481e-321,3.16202e-322
16,618.393,0.494393,510230,0,7,113,290,113,0.3,600,4.67827e-310,4.67827e-310,4.67815e-310,100
17,625.599,0.444999,508729,0,12,119,312,119,0.3,600,0.998,0.998,0.998,0.998
18,633.817,0.475514,505715,0,11,99,309,99,0.3,600,107728,3.95455e-310,3.16202e-322,3.16202e-322
19,661.473,0.456168,521235,0,7,105,284,105,0.3,600,4.67827e-310,6.92415e-310,0,0
20,645.202,0.487784,511393,0,9,44,260,44,0.3,600,2.68213e-29,9.54898e-313,2.93067e-309,0
21,630.208,0.496623,511571,0,8,107,313,107,0.3,600,2.91081e-309,0,9.54898e-313,2.92134e-309
22,648.648,0.515592,505510,0,9,49,260,49,0.3,600,0,4.67827e-310,2.9644e-309,2.75869e-313
23,639.278,0.479179,516967,0,8,77,272,77,0.3,600,0.998,0.998,0.998,0.998
24,666.232,0.45586,501638,0,9,73,273,73,0.3,600,9.54898e-313,2.94e-309,2.52962e-321,1.63042e-322
25,621.39,0.469386,494793,0,8,81,310,81,0.3,600,4.67771e-310,4.67827e-310,4.67827e-310,4.67827e-310
26,599.234,0.510896,523925,0,11,55,276,55,0.3,600,4.67771e-310,2.122e-314,9.5702e-311,412817
27,671.442,0.472083,495806,0,9,45,265,45,0.3,600,4.67771e-310,4.67827e-310,4.67827e-310,4.67827e-310
28,610.121,0.476384,503944,0,8,78,295,78,0.3,600,0,0,5.27734e-309,100
29,636.818,0.475813,513392,0,12,80,292,80,0.3,600,4.67827e-310,4.67827e-310,4.67827e-310,4.67827e-310
30,624.583,0.497624,512938,0,8,66,261,66,0.3,600,1.4086e-309,222500,222500,7.06625e-310
31,622.328,0.481232,515212,0,9,70,273,70,0.3,600,1.823e-308,543130,543131,1.91063e-313
32,631.361,0.500836,501264,0,9,70,285,70,0.3,600,0,0,0,0
33,647.378,0.480847,520729,0,10,102,288,102,0.3,600,-1.30973e-134,-1.061e-314,1.13596e-28,0
34,658.379,0.466453,531009,0,9,72,278,72,0.3,600,1.88306e-308,62884.7,62886.3,4.67815e-310
35,668.466,0.481622,519693,0,8,100,267,100,0.3,600,1.58691e-308,482316,490057,8.30283e-317
36,627.612,0.473261,521775,0,9,63,279,63,0.3,600,4.67771e-310,1.061e-313,1.60301e-308,521111
37,644.319,0.477715,511894,0,8,106,290,106,0.3,600,0,0,3.7521e-309,2.97088e-313
38,667.995,0.498043,505047,0,9,29,261,29,0.3,600,0,9.54898e-313,2.92866e-309,1.4316e-316
