Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,878.045,96.9668,506624,684,14,1,193,3099.66,497764,0.185,0,954184,1268150,468990,77112,84434,506625,376350,62384,249998695,1441288590,0,0,0,0,0,0,0,0,0,0,8,28,15,0,0,0,0,0,0,0,0
1,878.045,96.9988,506624,684,14,1,147,4056.08,508765,0.159,0,1043884,1262170,357210,84564,92484,385875,286650,68364,271282866,1122026025,0,0,0,0,0,0,0,0,0,0,8,28,15,0,0,0,0,0,0,0,0
2,878.044,97.2427,506624,684,14,1,124,4831.83,517738,0.133,0,1088734,1259180,301320,88290,96509,325500,241800,71354,281873956,963159675,0,0,0,0,0,0,0,0,0,0,8,28,15,0,0,0,0,0,0,0,0
3,878.045,97.0205,506624,684,14,1,61,9753.69,474582,0.066,0,1211584,1250990,148230,98496,107534,160125,118950,79544,317129606,434324925,0,0,0,0,0,0,0,0,0,0,8,28,15,0,0,0,0,0,0,0,0
4,878.043,97.2702,506624,684,14,1,45,13326.7,483180,0.054,0,1242784,1248910,109350,101088,110334,118125,87750,81624,324337445,326207340,0,0,0,0,0,0,0,0,0,0,8,28,15,0,0,0,0,0,0,0,0
5,878.044,97.1187,506624,684,14,1,24,24401,492170,0.029,0,1283734,1246180,58320,104490,114009,63000,46800,84354,334270363,177213570,0,0,0,0,0,0,0,0,0,0,8,28,15,0,0,0,0,0,0,0,0
6,878.044,97.1433,506624,684,14,1,17,34453.6,563539,0.016,0,1297384,1245270,41310,105624,115234,44625,33150,85264,336502915,143725290,0,0,0,0,0,0,0,0,0,0,8,28,15,0,0,0,0,0,0,0,0
7,878.044,97.3092,506624,684,14,1,11,44854.1,574360,0.012,0,1309084,1244490,26730,106596,116284,28875,21450,86044,339765655,94784190,0,0,0,0,0,0,0,0,0,0,8,28,15,0,0,0,0,0,0,0,0
8,878.044,97.4037,506624,684,14,1,6,74017.6,361781,0.012,0,1318834,1243840,14580,107406,117159,15750,11700,86694,343913375,32568390,0,0,0,0,0,0,0,0,0,0,8,28,15,0,0,0,0,0,0,0,0
9,878.043,97.3225,506624,684,14,1,12,41550.1,506439,0.012,0,1307134,1244620,29160,106434,116109,31500,23400,85914,340006247,91175310,0,0,0,0,0,0,0,0,0,0,8,28,15,0,0,0,0,0,0,0,0
10,878.044,97.1252,506624,684,14,1,12,47910.5,644692,0.009,0,1307134,1244620,29160,106434,116109,31500,23400,85914,338347215,116060790,0,0,0,0,0,0,0,0,0,0,8,28,15,0,0,0,0,0,0,0,0
11,878.044,97.32,506624,684,14,1,4,103558,757842,0.005,0,1322734,1243580,9720,107730,117509,10500,7800,86954,343052874,45475905,0,0,0,0,0,0,0,0,0,0,8,28,15,0,0,0,0,0,0,0,0
12,878.044,97.3228,506624,684,14,1,8,71847.7,589604,0.005,0,1314934,1244100,19440,107082,116809,21000,15600,86434,341367052,70763235,0,0,0,0,0,0,0,0,0,0,8,28,15,0,0,0,0,0,0,0,0
13,878.043,97.236,506624,684,14,1,1,201414,715542,0.002,0,1328584,1243190,2430,108216,118034,2625,1950,87344,345368969,10734480,0,0,0,0,0,0,0,0,0,0,8,28,15,0,0,0,0,0,0,0,0
14,878.043,97.2365,506624,684,14,1,2,283434,870234,0.002,0,1326634,1243320,4860,108054,117859,5250,3900,87214,344343953,26109720,0,0,0,0,0,0,0,0,0,0,8,28,15,0,0,0,0,0,0,0,0
15,662.825,0.518488,498877,905,235,1,237,2515.06,472371,0.3,2,1300650,1225400,4860,108054,116725,22260,11460,86710,339707829,95651580,0,0,0,0,0,0,0,0,0,0,11,470,15,0,0,16,0,0,0,1,0
0,835.583,101.352,521062,718,19,1,150,3910.73,510392,0.185,0,1103394,1324440,364500,87966,96969,393750,292500,71454,297091354,1148585490,0,0,0,0,0,0,0,0,0,0,6,38,15,0,0,0,0,0,0,0,0
1,835.583,101.374,521062,718,19,1,166,3542.54,513797,0.159,0,1072194,1326520,403380,85374,94169,435750,323700,69374,288358474,1279578690,0,0,0,0,0,0,0,0,0,0,6,38,15,0,0,0,0,0,0,0,0
2,835.582,101.562,521062,718,19,1,130,4598.39,524078,0.133,0,1142394,1321840,315900,91206,100469,341250,253500,74054,305521851,1022128035,0,0,0,0,0,0,0,0,0,0,6,38,15,0,0,0,0,0,0,0,0
3,835.583,101.429,521062,718,19,1,80,7303.46,569218,0.066,0,1239894,1315340,194400,99306,109219,210000,156000,80554,328119062,683169870,0,0,0,0,0,0,0,0,0,0,6,38,15,0,0,0,0,0,0,0,0
4,835.582,101.573,521062,718,19,1,51,11689.4,536313,0.054,0,1296444,1311570,123930,104004,114294,133875,99450,84324,346307162,410348370,0,0,0,0,0,0,0,0,0,0,6,38,15,0,0,0,0,0,0,0,0
5,835.581,101.487,521062,718,19,1,31,19293,481353,0.029,0,1335444,1308970,75330,107244,117794,81375,60450,86924,358738988,223870980,0,0,0,0,0,0,0,0,0,0,6,38,15,0,0,0,0,0,0,0,0
6,835.581,101.52,521062,718,19,1,21,28529.1,486908,0.016,0,1354944,1307670,51030,108864,119544,55125,40950,88224,363436759,153404415,0,0,0,0,0,0,0,0,0,0,6,38,15,0,0,0,0,0,0,0,0
7,835.582,101.712,521062,718,19,1,11,54399.6,639015,0.012,0,1374444,1306370,26730,110484,121294,28875,21450,89524,366633569,105452265,0,0,0,0,0,0,0,0,0,0,6,38,15,0,0,0,0,0,0,0,0
