Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,809.2,513.885,511225,741,84,171,3481.06,532096,0.185,0,1099774,1369030,415530,75330,89799,448875,333450,64194,287359744,1365056970,0,0,0,0,0,0,0,0,0,0,8,168,15,0,0,0,0,0,0,0,0
1,809.2,513.93,511225,741,84,141,4243.3,518525,0.159,0,1158274,1365130,342630,80190,95049,370125,274950,68094,305238868,1096870110,0,0,0,0,0,0,0,0,0,0,8,168,15,0,0,0,0,0,0,0,0
2,809.201,514.397,511225,741,84,120,4954.5,492399,0.133,0,1199224,1362400,291600,83592,98724,315000,234000,70824,319264815,886480905,0,0,0,0,0,0,0,0,0,0,8,168,15,0,0,0,0,0,0,0,0
3,809.2,514.019,511225,741,84,67,8937.43,553885,0.066,0,1302574,1355510,162810,92178,107999,175875,130650,77714,341247203,556745085,0,0,0,0,0,0,0,0,0,0,8,168,15,0,0,0,0,0,0,0,0
4,809.202,514.524,511225,741,84,43,13851.4,510010,0.054,0,1349374,1352390,104490,96066,112199,112875,83850,80834,356429259,329014245,0,0,0,0,0,0,0,0,0,0,8,168,15,0,0,0,0,0,0,0,0
5,809.201,514.134,511225,741,84,16,30644.7,497159,0.029,0,1402024,1348880,38880,100440,116924,42000,31200,84344,370407562,119339700,0,0,0,0,0,0,0,0,0,0,8,168,15,0,0,0,0,0,0,0,0
6,809.201,514.183,511225,741,84,13,34569.7,669239,0.016,0,1407874,1348490,31590,100926,117449,34125,25350,84734,369662267,130519125,0,0,0,0,0,0,0,0,0,0,8,168,15,0,0,0,0,0,0,0,0
7,809.202,514.635,511225,741,84,6,89826.5,453500,0.012,0,1421524,1347580,14580,102060,118674,15750,11700,85644,375642005,40823055,0,0,0,0,0,0,0,0,0,0,8,168,15,0,0,0,0,0,0,0,0
8,809.202,514.48,511225,741,84,14,37776.4,477284,0.012,0,1405924,1348620,34020,100764,117274,36750,27300,84604,371680302,100248600,0,0,0,0,0,0,0,0,0,0,8,168,15,0,0,0,0,0,0,0,0
9,809.202,514.476,511225,741,84,10,56339,726451,0.012,0,1413724,1348100,24300,101412,117974,26250,19500,85124,371098129,108981195,0,0,0,0,0,0,0,0,0,0,8,168,15,0,0,0,0,0,0,0,0
10,809.201,514.25,511225,741,84,6,94518.1,663951,0.009,0,1421524,1347580,14580,102060,118674,15750,11700,85644,374379295,59763705,0,0,0,0,0,0,0,0,0,0,8,168,15,0,0,0,0,0,0,0,0
11,809.201,514.652,511225,741,84,6,70062.8,617803,0.005,0,1421524,1347580,14580,102060,118674,15750,11700,85644,374656185,55610355,0,0,0,0,0,0,0,0,0,0,8,168,15,0,0,0,0,0,0,0,0
12,809.202,514.441,511225,741,84,3,99552.5,451399,0.005,0,1427374,1347190,7290,102546,119199,7875,5850,86034,377009076,20316990,0,0,0,0,0,0,0,0,0,0,8,168,15,0,0,0,0,0,0,0,0
13,809.201,514.685,511225,741,84,1,334678,922827,0.002,0,1431274,1346930,2430,102870,119549,2625,1950,86294,377440625,13843755,0,0,0,0,0,0,0,0,0,0,8,168,15,0,0,0,0,0,0,0,0
14,809.202,514.628,511225,741,84,2,209888,690880,0.002,0,1429324,1347060,4860,102708,119374,5250,3900,86164,376981601,20729115,0,0,0,0,0,0,0,0,0,0,8,168,15,0,0,0,0,0,0,0,0
15,653.401,0.456061,498104,917,260,297,2015.26,435214,0.3,17,1207050,1215890,41310,100278,108325,170985,89310,80470,326956194,771110220,0,0,0,0,0,0,0,0,0,0,10,519,15,0,0,121,0,0,0,1,0
