Mean Block Receive Time_x,Label
504.936,0
818.109,1
586.015,0
476.534,0
459.891,0
479.385,0
521.422,0
623.993,0
457.916,0
580.691,0
789.834,1
348.27,0
796.873,1
457.959,0
927.996,0
521.509,0
817.204,1
596.004,0
818.11,1
527.786,0
743.625,1
527.779,0
796.873,1
743.624,1
819.567,1
585.979,0
806.999,1
757.898,1
991.715,0
789.834,1
494.377,0
820.616,1
870.379,1
776.793,1
609.6,0
722.649,0
582.684,0
773.709,1
810.435,1
790.48,1
817.204,1
542.956,0
594.703,1
432.233,0
441.359,0
830.521,1
429.03,0
598.349,1
742.041,0
818.497,1
789.682,1
743.345,1
833.265,1
781.226,1
864.307,1
799.309,1
848.38,1
615.598,0
816.817,1
449.2,0
540.046,0
757.899,1
609.623,0
763.323,1
515.106,0
410.789,0
615.499,0
811.68,1
848.38,1
810.435,1
495.519,0
799.309,1
452.978,0
370.097,0
499.369,0
834.319,1
775.987,1
771.126,1
428.162,0
586.231,0
625.611,0
554.435,0
841.869,1
639.984,0
746.085,0
664.738,0
763.322,1
693.814,0
479.292,0
572.421,0
813.853,1
590.859,0
540.04,0
484.801,0
452.086,0
572.358,0
810.837,1
806.479,1
1115.99,0
775.987,1
370.112,0
799.728,1
775.633,0
798.721,1
495.447,0
870.379,1
798.721,1
819.814,0
774.623,1
499.301,0
833.265,1
348.266,0
799.725,1
586.285,0
781.982,1
766.714,1
805.69,1
615.694,0
469.193,0
847.048,1
671.167,1
763.663,1
456.017,0
796.873,1
863.023,1
832.958,1
625.67,0
538.153,0
451.218,0
609.478,0
793.467,1
432.16,0
1115.99,0
518.283,0
428.98,0
609.577,0
1267.67,0
830.52,1
582.904,0
797.902,1
590.862,0
800.66,1
733.469,1
567.318,0
751.396,1
798.721,1
851.697,1
629.131,1
441.385,0
572.262,0
851.697,1
805.69,1
773.71,1
799.31,1
820.373,1
449.202,0
810.434,1
539.974,0
517.583,0
428.141,0
790.995,1
441.354,0
785.785,1
789.682,1
930.738,0
483.56,0
891.48,1
504.958,0
615.512,0
776.792,1
645.651,1
527.765,0
533.905,0
1267.74,0
586.557,0
743.345,1
664.792,0
634.368,1
863.022,1
811.679,1
690.382,0
810.435,1
518.855,0
1116.14,0
811.679,1
455.985,0
515.133,0
991.711,0
927.955,0
834.935,0
819.567,1
763.321,1
763.323,1
781.983,1
750.298,0
625.677,0
554.427,0
811.68,1
410.849,0
820.371,1
495.466,0
810.435,1
870.379,1
735.354,0
590.819,0
775.613,1
441.174,0
494.362,0
410.788,0
790.479,1
789.682,1
619.687,1
810.436,1
618.706,1
773.615,1
593.061,1
775.987,1
746.054,0
811.679,1
844.878,1
517.633,0
798.887,1
412.627,0
623.912,0
574.234,0
818.496,1
799.238,1
585.956,0
799.31,1
757.899,1
469.198,0
769.657,1
750.441,0
459.894,0
1115.97,0
518.184,0
826.599,1
490.745,0
796.873,1
527.758,0
757.899,1
743.345,1
799.729,1
637.162,1
540.058,0
799.729,1
283.034,0
518.286,0
452.061,0
991.712,0
841.87,1
833.265,1
775.988,1
